Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
48,No,Clinical Operations,Clinical Trial Manager,Biochemistry,4,4,2,3,2,Single,11630,0,Yes,Travel_Frequently,3,21,4,0,7,0,0,0,Pharmaceuticals & Biotechnology,State-of-the-art laboratory instrumentation and grants.
27,Yes,Clinical Operations,Biostatistician,Medicine,4,1,4,3,3,Divorced,11632,2,No,Travel_Rarely,3,11,5,5,7,0,1,0,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
36,No,Clinical Operations,Principal Scientist,Molecular Biology,5,16,1,3,4,Married,12131,3,Yes,Travel_Rarely,3,15,2,1,12,0,1,0,Pharmaceuticals & Biotechnology,State-of-the-art laboratory instrumentation and grants.
40,Yes,R&D Discovery,Principal Scientist,Molecular Biology,4,4,3,3,2,Married,10071,6,No,Travel_Frequently,3,14,5,1,2,1,1,1,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
42,No,Clinical Operations,Toxicologist,Pharmacy,2,1,2,2,2,Single,9414,2,No,Travel_Rarely,3,20,2,0,3,0,0,0,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
36,Yes,Clinical Operations,Principal Scientist,Pharmacy,5,5,3,4,3,Divorced,12041,6,No,Travel_Rarely,3,23,3,9,10,9,3,5,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
26,No,Clinical Operations,Biostatistician,Molecular Biology,5,1,3,4,3,Single,10917,2,No,Travel_Frequently,3,11,3,6,6,4,2,4,Pharmaceuticals & Biotechnology,Transformative science curing life-threatening diseases.
37,Yes,R&D Discovery,Toxicologist,Medicine,4,13,1,2,1,Single,10533,3,No,Travel_Rarely,3,17,5,3,8,2,0,1,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
37,No,Regulatory Compliance,Clinical Trial Manager,Molecular Biology,3,1,3,2,2,Divorced,11845,4,No,Travel_Frequently,3,22,5,0,7,0,0,0,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
32,No,Regulatory Compliance,Principal Scientist,Biochemistry,4,4,2,3,3,Single,9563,2,No,Travel_Frequently,3,14,3,0,1,0,0,0,Pharmaceuticals & Biotechnology,Transformative science curing life-threatening diseases.
44,No,Clinical Operations,Toxicologist,Pharmacy,4,1,4,1,2,Single,10104,2,No,Travel_Frequently,4,14,1,3,3,1,0,1,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
54,Yes,Clinical Operations,Toxicologist,Biochemistry,1,12,4,4,4,Married,12481,1,No,Travel_Rarely,3,20,2,0,9,0,0,0,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
38,Yes,Regulatory Compliance,Biostatistician,Medicine,4,6,1,1,3,Married,9844,1,No,Travel_Frequently,3,22,4,2,3,2,2,2,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
29,No,R&D Discovery,Biostatistician,Biochemistry,2,14,2,2,3,Married,9326,4,Yes,Travel_Frequently,4,19,4,0,0,0,0,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
25,Yes,Regulatory Compliance,Clinical Trial Manager,Molecular Biology,5,15,4,2,3,Divorced,11229,2,No,Travel_Rarely,3,15,3,1,7,0,0,0,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
44,No,Clinical Operations,Toxicologist,Biochemistry,3,1,3,1,2,Married,11698,1,Yes,Travel_Frequently,3,17,4,10,10,8,1,7,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
24,No,R&D Discovery,Principal Scientist,Pharmacy,2,12,3,3,2,Divorced,9934,5,No,Travel_Frequently,3,23,2,3,5,0,0,0,Pharmaceuticals & Biotechnology,State-of-the-art laboratory instrumentation and grants.
44,Yes,R&D Discovery,Biostatistician,Biochemistry,2,15,1,1,2,Divorced,12333,1,No,Travel_Frequently,3,24,2,2,11,1,2,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
48,No,R&D Discovery,Clinical Trial Manager,Medicine,3,9,2,2,3,Divorced,11088,2,No,Travel_Rarely,3,23,3,3,5,0,2,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
34,Yes,Regulatory Compliance,Principal Scientist,Molecular Biology,3,8,3,1,3,Divorced,9818,2,No,Travel_Rarely,3,25,3,4,5,0,1,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
38,Yes,R&D Discovery,Clinical Trial Manager,Medicine,5,33,3,4,2,Married,9194,3,No,Travel_Rarely,3,18,2,0,0,0,0,0,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
39,No,Clinical Operations,Toxicologist,Biochemistry,3,1,3,3,2,Single,10315,3,No,Travel_Frequently,3,21,1,2,6,2,1,0,Pharmaceuticals & Biotechnology,Generous patent royalty incentives and publication prestige.
47,Yes,Regulatory Compliance,Clinical Trial Manager,Pharmacy,1,6,1,2,1,Single,10590,4,Yes,Travel_Frequently,3,22,5,5,6,5,1,3,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
53,No,Clinical Operations,Clinical Trial Manager,Pharmacy,4,1,4,4,2,Divorced,12940,2,No,Travel_Frequently,4,12,1,10,12,5,3,4,Pharmaceuticals & Biotechnology,State-of-the-art laboratory instrumentation and grants.
36,No,R&D Discovery,Clinical Trial Manager,Medicine,5,20,3,1,3,Single,11471,2,No,Travel_Frequently,3,23,4,5,7,0,3,0,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
32,No,Regulatory Compliance,Biostatistician,Medicine,4,7,2,3,2,Single,8512,4,No,Travel_Rarely,3,23,3,0,0,0,0,0,Pharmaceuticals & Biotechnology,State-of-the-art laboratory instrumentation and grants.
26,No,Clinical Operations,Biostatistician,Pharmacy,5,1,3,4,3,Single,11769,2,Yes,Travel_Rarely,3,13,1,5,8,1,1,1,Pharmaceuticals & Biotechnology,State-of-the-art laboratory instrumentation and grants.
33,No,R&D Discovery,Principal Scientist,Medicine,3,23,4,4,3,Married,9124,3,No,Travel_Rarely,3,16,4,0,1,0,0,0,Pharmaceuticals & Biotechnology,Generous patent royalty incentives and publication prestige.
49,No,Regulatory Compliance,Toxicologist,Biochemistry,3,1,3,2,2,Married,10847,4,Yes,Travel_Rarely,3,18,1,2,4,0,2,0,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
30,No,R&D Discovery,Principal Scientist,Biochemistry,4,5,3,2,2,Single,12778,2,No,Travel_Frequently,4,15,4,2,12,2,2,2,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
56,No,R&D Discovery,Biostatistician,Medicine,3,13,2,4,1,Married,10572,2,No,Travel_Frequently,3,14,1,2,6,1,2,1,Pharmaceuticals & Biotechnology,Transformative science curing life-threatening diseases.
46,No,Clinical Operations,Biostatistician,Pharmacy,4,6,2,3,1,Divorced,11126,1,No,Travel_Frequently,3,19,2,3,8,0,0,2,Pharmaceuticals & Biotechnology,Generous patent royalty incentives and publication prestige.
38,No,Clinical Operations,Principal Scientist,Medicine,2,13,2,3,4,Married,13635,1,Yes,Travel_Rarely,3,25,2,7,13,6,1,4,Pharmaceuticals & Biotechnology,Generous patent royalty incentives and publication prestige.
28,Yes,Clinical Operations,Biostatistician,Pharmacy,5,22,2,2,4,Single,11062,3,No,Travel_Frequently,3,12,4,5,9,1,3,1,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
27,No,Clinical Operations,Biostatistician,Pharmacy,2,1,4,2,1,Married,11037,5,No,Travel_Rarely,4,23,2,0,9,0,0,0,Pharmaceuticals & Biotechnology,Slow corporate consolidation during pharma mergers.
43,No,Clinical Operations,Principal Scientist,Molecular Biology,3,5,4,4,2,Married,8641,0,No,Travel_Rarely,3,25,1,0,0,0,0,0,Pharmaceuticals & Biotechnology,Generous patent royalty incentives and publication prestige.
39,Yes,R&D Discovery,Biostatistician,Molecular Biology,4,1,4,3,1,Single,13739,4,No,Travel_Rarely,3,23,2,3,18,2,1,1,Pharmaceuticals & Biotechnology,Overly bureaucratic FDA compliance documentation.
29,No,Regulatory Compliance,Toxicologist,Biochemistry,4,11,4,3,1,Single,10599,4,No,Travel_Frequently,3,14,3,2,5,1,2,0,Pharmaceuticals & Biotechnology,Generous patent royalty incentives and publication prestige.
39,Yes,Regulatory Compliance,Principal Scientist,Molecular Biology,3,4,1,2,1,Divorced,11931,3,No,Travel_Frequently,3,22,3,2,8,2,2,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
42,Yes,R&D Discovery,Clinical Trial Manager,Pharmacy,4,1,3,1,3,Divorced,11426,3,No,Travel_Frequently,3,12,5,3,7,0,2,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
41,No,Regulatory Compliance,Clinical Trial Manager,Medicine,3,1,4,3,2,Single,9124,2,Yes,Travel_Frequently,3,20,2,0,2,0,0,0,Pharmaceuticals & Biotechnology,Transformative science curing life-threatening diseases.
30,Yes,Clinical Operations,Biostatistician,Pharmacy,3,7,2,2,2,Married,11444,4,No,Travel_Frequently,3,18,3,0,8,0,0,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
43,No,Clinical Operations,Biostatistician,Medicine,3,1,3,3,1,Single,10653,3,No,Travel_Rarely,3,12,2,0,8,0,0,0,Pharmaceuticals & Biotechnology,Transformative science curing life-threatening diseases.
41,No,R&D Discovery,Toxicologist,Biochemistry,3,3,2,2,3,Married,9962,0,No,Travel_Rarely,3,14,2,0,3,0,0,0,Pharmaceuticals & Biotechnology,Failed Phase 3 clinical trials wipe out years of effort.
