Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
29,Yes,Customer Success,Escalation Agent,Communications,5,3,3,1,3,Single,3300,1,Yes,Non-Travel,4,24,4,5,11,2,2,0,Customer Support & BPO Centers,High volume of frustrated customers taking emotional toll.
38,Yes,Customer Success,Helpdesk Specialist,General Studies,4,10,3,1,2,Divorced,2921,3,No,Non-Travel,3,25,3,1,3,0,1,0,Customer Support & BPO Centers,High volume of frustrated customers taking emotional toll.
38,Yes,Customer Success,Escalation Agent,Communications,3,1,2,3,3,Divorced,3027,3,No,Non-Travel,3,13,1,3,4,3,0,3,Customer Support & BPO Centers,Very limited salary growth without changing companies.
32,Yes,Inbound Helpdesk,Technical Support Lead,Information Technology,3,2,2,1,1,Single,2924,1,No,Non-Travel,4,23,3,0,2,0,0,0,Customer Support & BPO Centers,High volume of frustrated customers taking emotional toll.
41,Yes,Customer Success,Technical Support Lead,Information Technology,4,1,4,1,3,Divorced,3314,2,No,Non-Travel,4,13,2,2,7,2,2,1,Customer Support & BPO Centers,Strict Average Handle Time (AHT) metrics monitor every minute.
22,No,Inbound Helpdesk,Escalation Agent,General Studies,3,8,4,3,3,Married,2850,3,No,Non-Travel,3,24,2,1,2,0,0,0,Customer Support & BPO Centers,Fast feedback loops and helpful knowledge base tools.
45,No,Tier 2 Support,Helpdesk Specialist,Information Technology,5,1,3,1,3,Single,3552,3,No,Non-Travel,3,13,3,10,10,6,6,6,Customer Support & BPO Centers,Very limited salary growth without changing companies.
31,No,Inbound Helpdesk,Helpdesk Specialist,Communications,5,3,4,3,1,Married,2921,0,No,Non-Travel,4,18,3,0,1,0,0,0,Customer Support & BPO Centers,Performance bonuses for high customer satisfaction.
44,No,Tier 2 Support,Helpdesk Specialist,General Studies,1,1,3,1,2,Single,3711,2,Yes,Non-Travel,4,13,5,11,19,8,1,4,Customer Support & BPO Centers,Strict Average Handle Time (AHT) metrics monitor every minute.
40,Yes,Inbound Helpdesk,Helpdesk Specialist,Information Technology,4,3,3,4,1,Divorced,2796,4,Yes,Non-Travel,4,25,1,0,0,0,0,0,Customer Support & BPO Centers,Very limited salary growth without changing companies.
46,Yes,Tier 2 Support,Technical Support Lead,General Studies,3,2,1,2,1,Single,3124,0,Yes,Non-Travel,4,17,3,1,6,0,1,1,Customer Support & BPO Centers,High volume of frustrated customers taking emotional toll.
49,No,Tier 2 Support,Helpdesk Specialist,General Studies,2,11,3,3,4,Single,4007,1,No,Non-Travel,3,22,1,4,21,4,4,4,Customer Support & BPO Centers,Supportive floor team and structured daily schedules.
25,No,Tier 2 Support,Helpdesk Specialist,Information Technology,4,9,3,4,2,Divorced,2891,4,Yes,Non-Travel,3,21,3,0,0,0,0,0,Customer Support & BPO Centers,Supportive floor team and structured daily schedules.
41,No,Tier 2 Support,Escalation Agent,Information Technology,3,11,4,3,3,Married,3604,2,No,Non-Travel,3,15,1,0,13,0,0,0,Customer Support & BPO Centers,Performance bonuses for high customer satisfaction.
42,No,Inbound Helpdesk,Technical Support Lead,General Studies,4,4,4,4,3,Divorced,3317,2,Yes,Non-Travel,3,24,3,1,9,1,0,1,Customer Support & BPO Centers,Performance bonuses for high customer satisfaction.
40,Yes,Customer Success,Escalation Agent,Communications,3,8,2,2,1,Divorced,3840,1,No,Non-Travel,3,22,4,7,17,5,0,1,Customer Support & BPO Centers,High volume of frustrated customers taking emotional toll.
38,Yes,Tier 2 Support,Helpdesk Specialist,Information Technology,2,1,3,4,3,Married,3219,0,No,Non-Travel,3,18,3,5,5,5,3,5,Customer Support & BPO Centers,Strict Average Handle Time (AHT) metrics monitor every minute.
35,Yes,Customer Success,Escalation Agent,Communications,5,23,2,4,1,Married,3943,5,Yes,Non-Travel,3,21,3,3,17,3,3,3,Customer Support & BPO Centers,Very limited salary growth without changing companies.
54,No,Customer Success,Helpdesk Specialist,Information Technology,1,14,3,4,1,Divorced,3311,2,No,Non-Travel,3,22,5,7,7,3,0,3,Customer Support & BPO Centers,Performance bonuses for high customer satisfaction.
29,No,Inbound Helpdesk,Technical Support Lead,General Studies,2,1,3,3,1,Divorced,3435,3,No,Non-Travel,3,19,2,1,9,0,1,0,Customer Support & BPO Centers,Fast feedback loops and helpful knowledge base tools.
34,No,Inbound Helpdesk,Helpdesk Specialist,General Studies,3,17,1,3,1,Married,3736,1,No,Non-Travel,4,13,1,2,13,2,2,2,Customer Support & BPO Centers,Performance bonuses for high customer satisfaction.
27,No,Customer Success,Technical Support Lead,Information Technology,3,7,4,3,2,Married,3165,2,Yes,Non-Travel,3,22,5,5,9,0,5,0,Customer Support & BPO Centers,Supportive floor team and structured daily schedules.
