Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
34,No,Event Management,Food & Beverage Director,Business,3,5,2,4,4,Married,4286,1,No,Travel_Rarely,3,11,5,3,6,2,0,0,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
36,No,Hotel Operations,Event Manager,Communications,4,3,3,3,2,Divorced,4561,2,Yes,Travel_Rarely,4,17,5,3,15,3,3,3,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
26,Yes,Guest Relations,Food & Beverage Director,Business,3,8,3,2,4,Divorced,4047,2,Yes,Travel_Rarely,3,18,4,2,7,2,2,0,Hospitality & Resort Tourism,Working every single weekend and public holiday.
40,No,Hotel Operations,Event Manager,Business,2,8,2,3,1,Divorced,4415,2,No,Non-Travel,3,20,5,1,9,1,0,0,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
44,No,Guest Relations,Food & Beverage Director,Business,3,4,3,1,2,Divorced,4142,0,No,Travel_Rarely,3,13,4,4,5,1,1,1,Hospitality & Resort Tourism,Working every single weekend and public holiday.
34,Yes,Event Management,Food & Beverage Director,Hospitality Management,5,1,1,3,1,Single,3794,2,No,Non-Travel,3,11,1,1,2,0,1,1,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
31,Yes,Hotel Operations,Event Manager,Communications,3,17,4,3,4,Single,4475,2,Yes,Non-Travel,3,22,1,3,13,1,2,1,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
23,No,Guest Relations,Guest Service Lead,Communications,3,12,1,2,2,Divorced,3874,1,No,Travel_Rarely,4,24,2,3,5,2,0,2,Hospitality & Resort Tourism,Working every single weekend and public holiday.
28,Yes,Hotel Operations,Food & Beverage Director,Hospitality Management,3,8,2,3,2,Single,4049,9,No,Non-Travel,3,25,4,8,8,7,1,5,Hospitality & Resort Tourism,Working every single weekend and public holiday.
34,No,Guest Relations,Event Manager,Communications,3,2,3,3,1,Single,5069,1,Yes,Non-Travel,3,15,3,14,16,9,2,7,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
44,No,Guest Relations,Food & Beverage Director,Hospitality Management,3,9,4,2,2,Divorced,3598,1,No,Non-Travel,3,19,5,0,1,0,0,0,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
23,Yes,Event Management,Guest Service Lead,Communications,4,25,3,3,1,Divorced,3576,5,Yes,Travel_Rarely,4,23,3,0,1,0,0,0,Hospitality & Resort Tourism,Seasonal off-peak wage downturns create instability.
49,Yes,Hotel Operations,Guest Service Lead,Hospitality Management,5,10,2,2,1,Single,3946,3,No,Travel_Rarely,3,11,5,3,4,3,1,1,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
34,Yes,Event Management,Event Manager,Business,4,8,2,2,3,Married,4564,0,Yes,Non-Travel,3,23,1,6,13,4,0,3,Hospitality & Resort Tourism,Seasonal off-peak wage downturns create instability.
30,No,Event Management,Event Manager,Hospitality Management,4,8,4,2,3,Married,4309,3,Yes,Non-Travel,3,19,5,0,12,0,0,0,Hospitality & Resort Tourism,Seasonal off-peak wage downturns create instability.
32,Yes,Hotel Operations,Food & Beverage Director,Communications,2,23,2,3,1,Divorced,4464,1,No,Travel_Rarely,3,18,2,4,13,2,2,0,Hospitality & Resort Tourism,Seasonal off-peak wage downturns create instability.
44,Yes,Guest Relations,Guest Service Lead,Hospitality Management,3,3,4,1,1,Single,6322,4,Yes,Non-Travel,3,25,2,12,26,9,1,7,Hospitality & Resort Tourism,Working every single weekend and public holiday.
42,No,Hotel Operations,Guest Service Lead,Communications,3,3,2,3,1,Married,3686,2,No,Non-Travel,3,15,1,2,2,0,2,1,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
31,Yes,Hotel Operations,Food & Beverage Director,Business,5,14,3,2,2,Single,3320,2,No,Travel_Rarely,3,19,4,0,0,0,0,0,Hospitality & Resort Tourism,Working every single weekend and public holiday.
31,No,Event Management,Event Manager,Communications,4,19,3,3,4,Single,4217,2,No,Travel_Rarely,3,12,1,6,9,1,0,2,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
28,Yes,Event Management,Guest Service Lead,Communications,5,5,4,4,1,Divorced,3815,4,No,Non-Travel,3,19,5,1,3,0,0,1,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
41,No,Hotel Operations,Event Manager,Communications,3,1,4,2,3,Single,4006,1,No,Travel_Rarely,4,22,3,5,6,5,2,4,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
52,No,Guest Relations,Food & Beverage Director,Business,3,7,2,3,4,Married,3863,2,No,Non-Travel,3,25,4,0,4,0,0,0,Hospitality & Resort Tourism,Discounts across global hotel and restaurant chains.
35,Yes,Guest Relations,Food & Beverage Director,Communications,4,5,2,1,1,Single,3561,1,Yes,Travel_Rarely,3,15,3,0,1,0,0,0,Hospitality & Resort Tourism,Working every single weekend and public holiday.
22,No,Hotel Operations,Event Manager,Business,3,13,3,3,1,Single,3844,1,Yes,Travel_Rarely,4,13,4,0,4,0,0,0,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
31,No,Event Management,Food & Beverage Director,Business,3,7,4,2,3,Single,3523,5,No,Travel_Rarely,3,15,2,1,2,0,1,0,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
49,Yes,Guest Relations,Food & Beverage Director,Business,4,2,3,4,2,Married,4342,3,Yes,Non-Travel,3,11,4,8,9,4,2,2,Hospitality & Resort Tourism,Working every single weekend and public holiday.
27,No,Event Management,Event Manager,Business,3,21,2,3,2,Married,3939,3,No,Travel_Rarely,3,25,1,6,6,5,4,5,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
50,No,Guest Relations,Food & Beverage Director,Communications,2,4,3,1,3,Single,5134,2,No,Non-Travel,3,19,1,3,14,0,3,0,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
25,Yes,Guest Relations,Event Manager,Communications,1,5,3,1,2,Divorced,3937,2,Yes,Travel_Rarely,3,23,2,1,7,1,0,0,Hospitality & Resort Tourism,Working every single weekend and public holiday.
34,No,Guest Relations,Guest Service Lead,Hospitality Management,3,6,3,3,3,Married,4778,2,Yes,Travel_Rarely,3,22,4,14,16,11,0,8,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
43,Yes,Event Management,Food & Beverage Director,Communications,2,1,3,4,2,Divorced,3589,2,Yes,Travel_Rarely,4,17,4,1,1,0,1,0,Hospitality & Resort Tourism,Seasonal off-peak wage downturns create instability.
44,No,Guest Relations,Food & Beverage Director,Hospitality Management,5,22,3,4,3,Divorced,4784,0,Yes,Non-Travel,3,20,3,10,14,5,2,4,Hospitality & Resort Tourism,Discounts across global hotel and restaurant chains.
32,No,Event Management,Event Manager,Business,2,4,3,1,4,Single,4759,0,Yes,Non-Travel,3,15,3,7,14,6,1,4,Hospitality & Resort Tourism,Seasonal off-peak wage downturns create instability.
38,No,Hotel Operations,Food & Beverage Director,Communications,3,5,1,3,2,Married,4876,9,No,Travel_Rarely,3,20,1,13,13,6,2,3,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
39,No,Hotel Operations,Guest Service Lead,Communications,5,13,3,2,3,Divorced,4542,2,Yes,Non-Travel,3,17,2,7,11,7,0,7,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
37,Yes,Guest Relations,Event Manager,Hospitality Management,3,22,2,4,2,Divorced,4384,1,No,Non-Travel,3,17,4,1,8,1,1,0,Hospitality & Resort Tourism,Working every single weekend and public holiday.
30,Yes,Guest Relations,Food & Beverage Director,Communications,5,6,4,2,3,Single,4407,2,No,Non-Travel,3,12,4,1,12,0,0,0,Hospitality & Resort Tourism,Working every single weekend and public holiday.
22,No,Hotel Operations,Guest Service Lead,Communications,3,8,1,3,2,Divorced,3601,2,Yes,Travel_Rarely,3,20,3,1,1,1,0,1,Hospitality & Resort Tourism,"Lively, customer-facing teamwork and event energy."
40,No,Event Management,Food & Beverage Director,Hospitality Management,2,17,4,3,3,Married,3772,1,No,Non-Travel,3,18,3,4,4,0,1,0,Hospitality & Resort Tourism,"Lively, customer-facing teamwork and event energy."
32,No,Hotel Operations,Food & Beverage Director,Business,5,3,1,4,3,Married,3735,3,No,Non-Travel,4,25,2,4,4,2,0,2,Hospitality & Resort Tourism,Dynamic resort setting and diverse international guests.
31,Yes,Guest Relations,Guest Service Lead,Communications,3,23,2,2,1,Married,4484,3,No,Travel_Rarely,4,11,1,3,9,3,3,1,Hospitality & Resort Tourism,Seasonal off-peak wage downturns create instability.
40,Yes,Event Management,Guest Service Lead,Hospitality Management,2,8,3,4,3,Single,4017,0,No,Travel_Rarely,3,12,2,4,8,0,1,1,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
44,Yes,Guest Relations,Guest Service Lead,Hospitality Management,4,19,2,3,3,Married,3586,2,No,Travel_Rarely,3,13,2,3,3,2,3,2,Hospitality & Resort Tourism,High physical demands standing for full 10-hour shifts.
