Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
29,Yes,Academic Faculty,Postdoctoral Fellow,Life Sciences,4,1,1,1,3,Divorced,6477,4,No,Travel_Rarely,3,19,5,9,11,2,2,2,Higher Education & Research Institutes,Tenure-track publication pressure and grant rejection stress.
41,No,Academic Faculty,Assistant Professor,Physics,3,6,4,3,4,Married,6236,2,No,Travel_Rarely,3,12,3,1,11,0,1,1,Higher Education & Research Institutes,Academic freedom and intellectual mentorship.
41,Yes,Academic Faculty,Assistant Professor,Education,3,3,3,1,3,Married,5996,5,Yes,Travel_Rarely,3,11,5,5,7,2,4,2,Higher Education & Research Institutes,Tenure-track publication pressure and grant rejection stress.
35,No,Admissions,Academic Advisor,Physics,3,16,3,3,3,Single,6516,2,Yes,Travel_Rarely,3,25,4,9,10,5,0,5,Higher Education & Research Institutes,Generous university campus sabbaticals and tenure perks.
34,No,Academic Faculty,Assistant Professor,Humanities,3,9,4,2,2,Single,5058,3,Yes,Travel_Rarely,3,16,1,0,3,0,0,0,Higher Education & Research Institutes,Stagnant public university compensation scales.
32,No,Academic Faculty,Assistant Professor,Education,3,2,4,4,3,Single,6990,2,Yes,Travel_Rarely,3,19,1,6,13,2,5,0,Higher Education & Research Institutes,Academic freedom and intellectual mentorship.
45,No,Admissions,Postdoctoral Fellow,Life Sciences,3,1,2,3,3,Married,5932,3,No,Non-Travel,3,21,1,4,7,3,4,2,Higher Education & Research Institutes,Joy of guiding next-generation researchers.
49,No,Institutional Research,Academic Advisor,Education,4,24,2,1,3,Single,5935,1,No,Non-Travel,4,23,5,0,8,0,0,0,Higher Education & Research Institutes,Heavy administrative overhead choking research time.
28,Yes,Admissions,Research Scientist,Humanities,1,3,3,1,2,Divorced,5154,0,No,Travel_Rarely,3,24,4,1,3,0,1,0,Higher Education & Research Institutes,Tenure-track publication pressure and grant rejection stress.
51,No,Institutional Research,Postdoctoral Fellow,Physics,3,1,4,3,2,Married,6967,2,No,Travel_Rarely,3,11,5,8,13,5,3,7,Higher Education & Research Institutes,Academic freedom and intellectual mentorship.
44,No,Admissions,Research Scientist,Physics,2,1,3,4,2,Married,4886,0,No,Non-Travel,3,15,3,0,0,0,0,0,Higher Education & Research Institutes,Joy of guiding next-generation researchers.
49,Yes,Admissions,Assistant Professor,Humanities,2,6,1,3,2,Divorced,7436,0,Yes,Non-Travel,3,25,4,16,24,7,0,7,Higher Education & Research Institutes,Stagnant public university compensation scales.
36,No,Institutional Research,Research Scientist,Humanities,3,2,1,3,3,Divorced,5959,5,No,Non-Travel,3,14,3,2,9,2,2,2,Higher Education & Research Institutes,Generous university campus sabbaticals and tenure perks.
21,No,Academic Faculty,Research Scientist,Humanities,4,1,4,4,2,Divorced,5355,6,No,Travel_Rarely,3,17,3,1,3,0,0,0,Higher Education & Research Institutes,Academic freedom and intellectual mentorship.
40,Yes,Admissions,Research Scientist,Humanities,2,2,4,3,2,Divorced,5204,1,Yes,Non-Travel,3,15,5,2,4,2,2,1,Higher Education & Research Institutes,Heavy administrative overhead choking research time.
38,Yes,Institutional Research,Research Scientist,Humanities,4,1,2,4,2,Divorced,5980,3,No,Non-Travel,3,16,2,5,7,4,0,3,Higher Education & Research Institutes,Heavy administrative overhead choking research time.
37,Yes,Admissions,Assistant Professor,Life Sciences,3,6,1,1,2,Divorced,4919,3,Yes,Travel_Rarely,4,18,5,1,1,1,0,0,Higher Education & Research Institutes,Heavy administrative overhead choking research time.
39,No,Institutional Research,Academic Advisor,Education,3,2,4,3,4,Married,6770,2,No,Non-Travel,3,25,1,5,17,2,2,1,Higher Education & Research Institutes,Joy of guiding next-generation researchers.
21,No,Academic Faculty,Postdoctoral Fellow,Physics,2,14,1,2,3,Single,5355,1,No,Non-Travel,3,20,4,0,3,0,0,0,Higher Education & Research Institutes,Tenure-track publication pressure and grant rejection stress.
32,Yes,Institutional Research,Academic Advisor,Life Sciences,3,5,2,1,2,Married,6385,1,Yes,Travel_Rarely,3,12,1,1,13,0,0,0,Higher Education & Research Institutes,Heavy administrative overhead choking research time.
39,No,Admissions,Research Scientist,Humanities,3,3,3,2,3,Married,5300,1,No,Non-Travel,3,25,3,0,2,0,0,0,Higher Education & Research Institutes,Tenure-track publication pressure and grant rejection stress.
58,No,Institutional Research,Academic Advisor,Physics,2,4,4,4,2,Divorced,5991,5,No,Travel_Rarely,3,15,4,7,7,0,0,0,Higher Education & Research Institutes,Generous university campus sabbaticals and tenure perks.
29,No,Academic Faculty,Postdoctoral Fellow,Humanities,3,13,3,4,1,Divorced,4975,3,Yes,Non-Travel,3,22,5,0,0,0,0,0,Higher Education & Research Institutes,Generous university campus sabbaticals and tenure perks.
31,No,Institutional Research,Academic Advisor,Humanities,2,6,1,3,3,Married,6593,0,Yes,Travel_Rarely,3,13,1,11,11,6,2,5,Higher Education & Research Institutes,Academic freedom and intellectual mentorship.
