Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
40,No,Engineering,Software Engineer,Mathematics,1,22,3,4,3,Single,11117,3,Yes,Non-Travel,3,12,4,5,9,2,0,1,Technology & Software Engineering,Great tech stack and modern microservices.
35,Yes,Data Science,QA Lead,Computer Science,3,1,1,2,3,Single,8947,1,Yes,Travel_Rarely,3,14,1,0,3,0,0,0,Technology & Software Engineering,Salary benchmark is below competing FAANG offers.
32,Yes,Data Science,Tech Lead,Information Technology,1,6,4,1,2,Married,9952,5,No,Travel_Rarely,3,12,2,0,5,0,0,0,Technology & Software Engineering,Salary benchmark is below competing FAANG offers.
35,Yes,Data Science,QA Lead,Information Technology,3,1,3,4,2,Single,10208,2,Yes,Non-Travel,3,23,1,3,6,2,2,3,Technology & Software Engineering,Lack of clear staff engineer promotion criteria.
42,No,Engineering,Product Manager,Information Technology,3,10,3,4,1,Married,11421,2,No,Travel_Frequently,3,24,5,6,10,1,6,1,Technology & Software Engineering,Good equity upside and generous learning budget.
41,Yes,Engineering,Tech Lead,Information Technology,3,3,3,3,1,Divorced,11010,3,No,Travel_Frequently,3,25,1,4,11,4,1,3,Technology & Software Engineering,On-call rotations are exhausting and burning out the team.
30,No,Engineering,DevOps Engineer,Information Technology,2,3,4,2,3,Single,11328,2,No,Travel_Rarely,3,22,1,10,12,4,4,4,Technology & Software Engineering,Endless technical debt and lack of refactoring time.
39,No,Engineering,Product Manager,Information Technology,2,4,2,1,4,Divorced,10800,1,Yes,Travel_Rarely,3,18,1,7,7,0,0,0,Technology & Software Engineering,Salary benchmark is below competing FAANG offers.
45,No,Data Science,DevOps Engineer,Computer Science,3,1,3,3,3,Married,17490,4,Yes,Non-Travel,3,16,4,0,27,0,0,0,Technology & Software Engineering,Love the remote flexibility and autonomous culture.
36,Yes,Data Science,Product Manager,Computer Science,2,3,2,4,2,Single,11937,5,No,Travel_Rarely,3,25,3,6,14,3,2,0,Technology & Software Engineering,Endless technical debt and lack of refactoring time.
38,No,Engineering,QA Lead,Information Technology,4,9,3,4,4,Married,9031,7,Yes,Travel_Frequently,3,19,3,4,5,0,4,0,Technology & Software Engineering,High engineering standards and fast CI/CD pipelines.
37,Yes,Data Science,Tech Lead,Information Technology,3,8,2,4,1,Married,13636,1,Yes,Travel_Frequently,3,14,3,1,15,0,1,0,Technology & Software Engineering,Lack of clear staff engineer promotion criteria.
29,No,Engineering,Software Engineer,Computer Science,4,6,3,3,3,Divorced,11640,0,Yes,Travel_Rarely,3,23,3,9,11,3,3,2,Technology & Software Engineering,Good equity upside and generous learning budget.
43,Yes,Product,Tech Lead,Information Technology,3,1,2,4,3,Married,15943,1,No,Travel_Frequently,3,22,1,20,23,13,3,9,Technology & Software Engineering,On-call rotations are exhausting and burning out the team.
21,Yes,Data Science,Tech Lead,Information Technology,3,9,2,2,2,Married,8864,2,Yes,Travel_Frequently,4,19,3,1,3,0,1,0,Technology & Software Engineering,Endless technical debt and lack of refactoring time.
28,No,Data Science,DevOps Engineer,Mathematics,5,1,3,1,2,Divorced,9104,3,Yes,Travel_Rarely,3,13,1,3,3,0,3,0,Technology & Software Engineering,Salary benchmark is below competing FAANG offers.
39,Yes,Product,DevOps Engineer,Mathematics,1,10,3,3,1,Single,10677,3,No,Travel_Frequently,3,12,4,1,9,0,0,1,Technology & Software Engineering,Endless technical debt and lack of refactoring time.
35,No,Product,DevOps Engineer,Computer Science,5,2,3,4,2,Divorced,7699,4,No,Travel_Rarely,3,19,5,0,0,0,0,0,Technology & Software Engineering,Great tech stack and modern microservices.
47,No,Data Science,DevOps Engineer,Computer Science,3,4,3,1,3,Married,7769,1,No,Travel_Frequently,3,24,5,0,0,0,0,0,Technology & Software Engineering,Lack of clear staff engineer promotion criteria.
43,No,Engineering,Tech Lead,Mathematics,3,6,1,2,3,Single,9387,4,No,Travel_Frequently,3,21,4,1,5,1,1,0,Technology & Software Engineering,Endless technical debt and lack of refactoring time.
