Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
33,Yes,Growth,Operations Lead,Design,4,1,4,4,3,Single,6084,1,Yes,Travel_Rarely,3,12,2,0,1,0,0,0,Early-Stage Tech Startups,Constantly shifting roadmap and runway anxiety.
29,No,Founding Engineering,Full Stack Generalist,Entrepreneurship,5,14,2,3,3,Single,5739,2,No,Travel_Rarely,3,11,5,0,2,0,0,0,Early-Stage Tech Startups,Fast decision making without corporate red tape.
40,Yes,Founding Engineering,Growth Hacker,Entrepreneurship,2,10,3,2,2,Single,7121,3,No,Non-Travel,3,16,2,7,7,4,7,4,Early-Stage Tech Startups,Wearing ten hats leads to chaotic priority whiplash.
33,No,Growth,Full Stack Generalist,Computer Science,3,14,3,3,3,Married,6554,0,Yes,Non-Travel,3,19,3,1,4,1,1,1,Early-Stage Tech Startups,Massive ownership and direct impact on company survival.
40,No,Operations,Operations Lead,Design,2,1,3,3,2,Divorced,6610,1,Yes,Non-Travel,3,13,3,4,6,3,1,1,Early-Stage Tech Startups,Massive ownership and direct impact on company survival.
31,No,Operations,Operations Lead,Entrepreneurship,3,1,4,3,3,Married,7648,2,Yes,Travel_Rarely,3,13,3,11,13,4,1,2,Early-Stage Tech Startups,Significant early equity pool allocation.
39,Yes,Growth,Growth Hacker,Entrepreneurship,4,5,3,2,3,Married,9835,0,Yes,Travel_Rarely,3,21,3,10,21,8,0,6,Early-Stage Tech Startups,Wearing ten hats leads to chaotic priority whiplash.
47,No,Growth,Operations Lead,Design,4,6,3,3,4,Divorced,6461,2,No,Travel_Rarely,3,15,3,2,6,2,0,2,Early-Stage Tech Startups,Significant early equity pool allocation.
39,Yes,Growth,Growth Hacker,Design,4,3,1,3,2,Married,6874,2,Yes,Travel_Rarely,3,11,1,6,6,1,3,1,Early-Stage Tech Startups,Below-market cash salary hoping for an uncertain exit.
36,Yes,Operations,Growth Hacker,Computer Science,4,6,1,3,2,Single,7968,4,Yes,Travel_Rarely,3,19,5,3,11,3,1,3,Early-Stage Tech Startups,Below-market cash salary hoping for an uncertain exit.
26,Yes,Founding Engineering,Operations Lead,Computer Science,2,4,2,4,1,Divorced,6851,3,Yes,Travel_Rarely,3,15,4,6,8,2,4,2,Early-Stage Tech Startups,Below-market cash salary hoping for an uncertain exit.
37,No,Founding Engineering,Growth Hacker,Computer Science,5,4,4,3,4,Divorced,9797,2,No,Travel_Rarely,4,15,2,3,19,0,0,0,Early-Stage Tech Startups,Fast decision making without corporate red tape.
32,Yes,Growth,Full Stack Generalist,Design,3,1,1,4,1,Married,6510,3,Yes,Travel_Rarely,3,11,1,5,5,2,3,2,Early-Stage Tech Startups,Below-market cash salary hoping for an uncertain exit.
48,Yes,Growth,Full Stack Generalist,Entrepreneurship,4,2,2,1,1,Single,7525,0,No,Travel_Rarely,3,13,2,4,9,3,4,4,Early-Stage Tech Startups,Constantly shifting roadmap and runway anxiety.
