Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
30,No,Digital Transformation,Associate Consultant,MBA,3,1,3,3,3,Divorced,13300,4,No,Travel_Rarely,3,19,1,7,12,3,0,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
37,No,Digital Transformation,Associate Consultant,Business Administration,2,1,2,3,4,Married,13093,4,No,Travel_Rarely,3,14,3,9,9,6,2,4,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
21,No,Operations Consulting,Strategy Principal,Engineering,5,6,2,2,2,Single,11157,5,Yes,Travel_Frequently,4,11,3,0,3,0,0,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
29,Yes,Operations Consulting,Associate Consultant,Engineering,5,6,4,1,2,Married,10961,1,No,Travel_Frequently,3,11,3,4,5,0,0,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
52,Yes,Digital Transformation,Associate Consultant,Business Administration,4,29,2,1,3,Divorced,11058,2,Yes,Travel_Frequently,3,14,2,1,2,0,1,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
31,No,Operations Consulting,Strategy Principal,Business Administration,3,1,3,3,3,Married,10020,3,Yes,Travel_Rarely,3,19,5,0,1,0,0,0,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
44,No,Digital Transformation,Strategy Principal,Economics,3,2,2,4,3,Single,11615,4,No,Travel_Frequently,3,13,4,4,5,1,0,0,Management Consulting & Advisory,Intellectually stimulating strategic problems.
37,No,Digital Transformation,Strategy Principal,Engineering,4,1,3,4,1,Divorced,12320,3,No,Travel_Rarely,3,24,2,2,6,0,2,1,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
37,No,Strategy,Engagement Manager,Economics,2,26,3,3,3,Single,13049,3,Yes,Travel_Rarely,3,20,1,5,10,1,0,0,Management Consulting & Advisory,Intellectually stimulating strategic problems.
49,Yes,Operations Consulting,Associate Consultant,Economics,3,12,1,3,2,Married,11270,3,No,Travel_Frequently,3,16,4,2,6,2,0,1,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
28,Yes,Operations Consulting,Associate Consultant,Business Administration,3,2,3,2,3,Divorced,13291,3,Yes,Travel_Frequently,3,11,4,1,10,0,1,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
45,No,Digital Transformation,Strategy Principal,Economics,2,4,4,2,3,Divorced,10456,1,No,Travel_Rarely,3,22,4,0,3,0,0,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
26,No,Strategy,Strategy Principal,Economics,3,22,4,1,3,Married,12273,2,No,Travel_Rarely,3,25,5,4,6,2,1,1,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
31,No,Strategy,Strategy Principal,MBA,3,13,4,4,4,Single,11782,3,Yes,Travel_Frequently,3,19,1,4,4,4,1,4,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
23,No,Strategy,Engagement Manager,Engineering,2,7,2,3,3,Divorced,10180,5,Yes,Travel_Frequently,4,13,4,2,2,0,1,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
33,Yes,Digital Transformation,Engagement Manager,Business Administration,5,15,2,4,3,Married,11186,3,No,Travel_Rarely,3,19,2,4,5,1,4,1,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
47,Yes,Strategy,Associate Consultant,Economics,2,17,3,4,3,Single,14080,1,Yes,Travel_Rarely,3,12,3,1,12,0,0,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
36,No,Digital Transformation,Engagement Manager,Engineering,4,2,4,3,4,Single,14138,4,No,Travel_Frequently,3,15,1,13,16,9,1,8,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
38,No,Strategy,Engagement Manager,Business Administration,4,1,1,3,3,Married,10770,4,Yes,Travel_Rarely,3,17,5,1,5,0,0,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
32,No,Operations Consulting,Strategy Principal,Economics,3,34,3,3,1,Single,11063,1,No,Travel_Rarely,3,22,3,2,2,2,0,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
21,No,Strategy,Engagement Manager,MBA,2,9,3,4,2,Single,11087,2,No,Travel_Frequently,3,17,4,1,3,1,1,0,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
40,Yes,Digital Transformation,Associate Consultant,Engineering,3,24,3,4,1,Divorced,13751,2,No,Travel_Rarely,3,16,3,0,10,0,0,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
26,No,Strategy,Strategy Principal,Business Administration,3,16,4,2,3,Married,11916,2,No,Travel_Frequently,3,25,4,4,8,2,4,2,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
45,Yes,Strategy,Engagement Manager,Engineering,3,7,2,3,2,Single,11117,1,No,Travel_Frequently,3,12,2,3,3,0,2,1,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
22,Yes,Operations Consulting,Associate Consultant,Engineering,4,18,3,3,3,Divorced,11255,1,Yes,Travel_Rarely,3,16,5,2,4,2,0,2,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
27,Yes,Strategy,Strategy Principal,MBA,3,7,2,1,1,Married,10814,6,Yes,Travel_Rarely,3,18,1,1,3,0,1,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
39,No,Digital Transformation,Engagement Manager,Business Administration,3,1,3,3,3,Married,14627,3,No,Travel_Rarely,3,22,1,8,12,1,2,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
42,Yes,Digital Transformation,Engagement Manager,Economics,5,18,1,4,3,Divorced,11037,2,Yes,Travel_Rarely,3,15,5,1,5,0,1,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
47,Yes,Operations Consulting,Strategy Principal,MBA,4,6,1,2,1,Divorced,10775,3,No,Travel_Rarely,3,23,4,0,5,0,0,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
39,No,Strategy,Associate Consultant,Economics,3,7,1,3,3,Single,10888,0,Yes,Travel_Rarely,3,14,4,2,2,2,1,2,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
37,No,Strategy,Strategy Principal,MBA,5,2,4,3,1,Divorced,12311,3,Yes,Travel_Rarely,3,22,5,3,7,3,0,1,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
40,No,Digital Transformation,Engagement Manager,MBA,3,9,3,4,2,Single,11047,3,No,Travel_Frequently,4,14,2,3,5,0,1,1,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
31,Yes,Strategy,Associate Consultant,MBA,4,16,3,2,2,Married,11098,5,No,Travel_Frequently,3,14,4,5,5,2,1,2,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
34,No,Operations Consulting,Engagement Manager,Economics,2,2,3,2,1,Single,9865,4,No,Travel_Rarely,4,22,2,0,0,0,0,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
43,No,Operations Consulting,Strategy Principal,MBA,2,1,3,1,3,Single,10581,3,Yes,Travel_Rarely,3,18,4,2,4,2,2,1,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
27,No,Strategy,Strategy Principal,Economics,4,3,3,3,3,Divorced,11615,2,No,Travel_Frequently,3,12,5,3,7,0,3,0,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
37,No,Strategy,Engagement Manager,Engineering,1,13,3,3,4,Divorced,11669,0,No,Travel_Rarely,3,24,3,3,7,1,2,1,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
38,Yes,Digital Transformation,Associate Consultant,MBA,3,3,2,1,1,Married,10560,1,No,Travel_Rarely,3,24,3,0,4,0,0,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
37,Yes,Digital Transformation,Associate Consultant,Business Administration,5,1,4,3,1,Divorced,13956,0,No,Travel_Frequently,4,22,3,7,11,3,4,1,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
37,Yes,Digital Transformation,Associate Consultant,Engineering,3,27,4,3,3,Divorced,15611,0,No,Travel_Rarely,3,13,5,5,16,2,2,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
44,No,Digital Transformation,Engagement Manager,Business Administration,3,8,3,3,3,Divorced,12877,2,No,Travel_Rarely,4,22,4,0,10,0,0,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
36,Yes,Operations Consulting,Strategy Principal,Economics,1,7,1,4,2,Divorced,11803,1,Yes,Travel_Frequently,3,25,5,2,5,2,1,2,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
43,Yes,Operations Consulting,Engagement Manager,Business Administration,3,3,3,4,1,Married,12585,5,Yes,Travel_Rarely,3,15,2,6,7,4,0,2,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
37,No,Strategy,Engagement Manager,Business Administration,3,15,3,3,4,Married,10446,1,Yes,Travel_Frequently,3,16,3,2,2,0,0,1,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
33,Yes,Strategy,Strategy Principal,Economics,4,14,4,2,3,Single,14716,5,Yes,Travel_Frequently,3,13,2,7,15,0,0,1,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
36,Yes,Strategy,Engagement Manager,Business Administration,4,12,1,2,3,Married,10951,2,No,Travel_Frequently,3,16,1,0,2,0,0,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
32,No,Operations Consulting,Strategy Principal,Business Administration,3,1,3,3,1,Married,13015,7,No,Travel_Rarely,3,11,3,8,12,6,0,3,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
38,Yes,Operations Consulting,Associate Consultant,MBA,2,21,3,3,1,Divorced,13620,5,Yes,Travel_Rarely,3,18,2,10,13,7,1,6,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
31,No,Strategy,Engagement Manager,Business Administration,3,14,4,3,2,Married,11881,2,No,Travel_Frequently,3,23,5,6,7,3,1,0,Management Consulting & Advisory,Intellectually stimulating strategic problems.
48,No,Operations Consulting,Strategy Principal,MBA,3,12,3,4,3,Divorced,10796,2,Yes,Travel_Frequently,3,24,5,2,2,0,1,0,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
45,Yes,Operations Consulting,Strategy Principal,Business Administration,5,4,2,3,3,Single,13613,3,Yes,Travel_Frequently,3,12,5,4,12,0,0,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
28,Yes,Digital Transformation,Associate Consultant,Engineering,4,6,2,3,1,Married,11965,2,No,Travel_Rarely,3,14,3,1,6,0,0,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
53,Yes,Strategy,Engagement Manager,Economics,4,1,2,3,3,Single,15034,2,Yes,Travel_Frequently,3,24,4,12,16,4,1,3,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
27,No,Strategy,Engagement Manager,Economics,4,1,1,4,2,Single,11776,3,Yes,Travel_Rarely,3,14,5,4,6,0,3,1,Management Consulting & Advisory,Intellectually stimulating strategic problems.
35,Yes,Operations Consulting,Associate Consultant,Business Administration,2,1,3,3,2,Single,10559,4,No,Travel_Rarely,3,11,3,3,3,1,2,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
43,Yes,Operations Consulting,Associate Consultant,Economics,3,3,3,1,1,Married,11354,2,Yes,Travel_Frequently,3,14,5,0,4,0,0,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
44,No,Operations Consulting,Engagement Manager,Engineering,3,2,1,3,2,Divorced,11787,5,Yes,Travel_Frequently,3,15,5,1,4,1,1,1,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
52,No,Digital Transformation,Associate Consultant,Economics,5,22,3,3,2,Single,11710,4,No,Travel_Rarely,3,25,5,0,6,0,0,0,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
30,No,Operations Consulting,Engagement Manager,Economics,4,8,3,3,2,Married,12088,2,Yes,Travel_Frequently,3,25,3,6,6,4,3,4,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
32,No,Operations Consulting,Engagement Manager,Economics,4,18,2,4,3,Divorced,13008,1,Yes,Travel_Rarely,3,12,4,12,12,5,3,3,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
39,Yes,Strategy,Engagement Manager,Business Administration,4,11,2,3,2,Single,11760,3,No,Travel_Rarely,3,18,5,3,6,3,2,3,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
46,No,Operations Consulting,Associate Consultant,MBA,3,6,3,2,3,Married,13501,2,No,Travel_Frequently,3,22,1,1,12,0,0,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
46,Yes,Operations Consulting,Strategy Principal,MBA,3,29,3,1,2,Divorced,12473,4,Yes,Travel_Rarely,3,14,1,9,10,2,5,4,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
54,Yes,Digital Transformation,Engagement Manager,Engineering,4,1,3,3,2,Divorced,11492,1,Yes,Travel_Frequently,4,12,5,3,4,0,1,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
31,Yes,Strategy,Associate Consultant,Economics,3,10,3,3,2,Divorced,10783,2,Yes,Travel_Frequently,3,18,2,2,2,2,0,2,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
44,No,Operations Consulting,Engagement Manager,MBA,3,2,3,3,4,Married,12152,2,No,Travel_Rarely,3,16,2,2,7,2,1,0,Management Consulting & Advisory,Intellectually stimulating strategic problems.
39,No,Operations Consulting,Strategy Principal,Business Administration,3,10,3,2,2,Divorced,14173,2,No,Travel_Frequently,3,20,2,2,11,2,0,2,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
49,No,Operations Consulting,Associate Consultant,Economics,4,4,4,3,2,Divorced,9953,2,No,Travel_Frequently,3,25,3,2,2,0,2,0,Management Consulting & Advisory,Intellectually stimulating strategic problems.
45,No,Strategy,Engagement Manager,MBA,3,11,3,2,2,Single,14851,3,No,Travel_Frequently,3,13,5,2,12,0,1,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
34,No,Digital Transformation,Engagement Manager,Engineering,5,1,2,3,3,Divorced,12414,5,No,Travel_Rarely,3,12,2,9,11,3,0,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
27,Yes,Strategy,Strategy Principal,Business Administration,5,23,3,1,4,Single,11899,3,Yes,Travel_Frequently,3,17,5,6,9,5,0,1,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
26,No,Strategy,Engagement Manager,MBA,3,13,3,3,4,Divorced,11864,3,No,Travel_Rarely,3,11,2,1,8,0,1,0,Management Consulting & Advisory,Intellectually stimulating strategic problems.
40,No,Strategy,Strategy Principal,Engineering,3,20,4,4,2,Divorced,10076,4,Yes,Travel_Rarely,3,13,2,0,1,0,0,0,Management Consulting & Advisory,Intellectually stimulating strategic problems.
27,No,Operations Consulting,Engagement Manager,Economics,3,19,3,4,3,Married,12431,1,Yes,Travel_Rarely,4,24,5,2,7,0,2,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
41,Yes,Digital Transformation,Strategy Principal,Business Administration,4,45,2,1,2,Single,11967,2,Yes,Travel_Frequently,3,23,5,2,7,2,0,2,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
29,Yes,Strategy,Strategy Principal,Engineering,3,20,3,2,4,Divorced,13170,0,No,Travel_Frequently,3,20,3,0,11,0,0,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
50,No,Strategy,Strategy Principal,Engineering,4,1,3,2,3,Divorced,18140,7,Yes,Travel_Frequently,3,25,2,1,32,0,0,1,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
21,Yes,Strategy,Engagement Manager,Business Administration,4,5,3,3,2,Married,10987,3,No,Travel_Rarely,3,12,3,1,3,1,1,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
39,No,Operations Consulting,Strategy Principal,Engineering,4,2,3,2,1,Single,18038,2,No,Travel_Frequently,4,20,3,11,21,8,0,7,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
56,No,Strategy,Associate Consultant,Engineering,3,1,2,3,3,Married,12569,3,Yes,Travel_Frequently,3,16,4,5,7,2,5,5,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
28,No,Strategy,Engagement Manager,Economics,3,14,3,3,3,Married,10686,2,No,Travel_Frequently,3,13,5,2,3,0,2,2,Management Consulting & Advisory,Intellectually stimulating strategic problems.
46,No,Strategy,Engagement Manager,MBA,3,6,3,2,3,Married,11120,3,Yes,Travel_Frequently,3,22,4,2,4,2,2,1,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
32,Yes,Strategy,Strategy Principal,MBA,4,6,3,3,2,Single,11999,5,Yes,Travel_Rarely,4,13,5,7,9,4,0,3,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
30,No,Digital Transformation,Strategy Principal,Engineering,4,1,1,2,2,Single,13758,2,No,Travel_Rarely,4,11,2,7,12,2,0,1,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
32,Yes,Strategy,Associate Consultant,Business Administration,3,2,3,2,2,Single,11406,4,Yes,Travel_Rarely,3,24,4,0,5,0,0,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
45,Yes,Strategy,Strategy Principal,MBA,3,1,1,1,2,Married,11142,1,No,Travel_Frequently,3,18,1,2,3,0,1,0,Management Consulting & Advisory,Up-or-out promotion model creates toxic pressure.
32,No,Strategy,Strategy Principal,Engineering,2,2,4,2,4,Single,12350,2,No,Travel_Frequently,3,16,1,4,6,1,0,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
34,No,Digital Transformation,Engagement Manager,Business Administration,2,2,4,3,2,Divorced,11644,4,No,Travel_Frequently,4,25,3,4,8,1,0,2,Management Consulting & Advisory,Intellectually stimulating strategic problems.
48,No,Operations Consulting,Engagement Manager,Business Administration,3,1,3,4,3,Married,11938,1,No,Travel_Frequently,3,20,3,0,7,0,0,0,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
29,No,Operations Consulting,Strategy Principal,Engineering,2,5,3,4,3,Single,11313,1,No,Travel_Rarely,3,11,1,3,5,3,3,2,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
47,No,Strategy,Strategy Principal,Business Administration,4,12,3,3,3,Married,9464,2,No,Travel_Rarely,3,24,5,0,0,0,0,0,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
33,Yes,Operations Consulting,Engagement Manager,Business Administration,4,10,3,4,2,Divorced,9831,0,No,Travel_Rarely,4,13,3,1,1,0,1,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
36,Yes,Digital Transformation,Associate Consultant,Engineering,3,14,4,2,1,Divorced,11270,3,Yes,Travel_Frequently,3,22,4,3,3,1,0,3,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
45,No,Operations Consulting,Associate Consultant,Business Administration,3,10,3,4,1,Divorced,11540,4,Yes,Travel_Frequently,3,18,3,4,5,0,1,0,Management Consulting & Advisory,Top-tier training programs and firm brand prestige.
35,Yes,Digital Transformation,Strategy Principal,Economics,3,11,3,2,2,Divorced,12493,2,No,Travel_Frequently,3,25,3,3,9,0,2,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
30,No,Operations Consulting,Strategy Principal,Business Administration,3,2,1,2,3,Single,10470,2,No,Travel_Rarely,3,11,3,0,1,0,0,0,Management Consulting & Advisory,Travel fatigue from Monday-to-Thursday client flights.
42,Yes,Strategy,Strategy Principal,Business Administration,3,3,4,2,3,Divorced,11030,2,No,Travel_Frequently,4,19,5,0,5,0,0,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
43,No,Strategy,Engagement Manager,Economics,3,1,4,3,1,Divorced,14103,2,No,Travel_Frequently,3,24,5,3,15,2,0,1,Management Consulting & Advisory,Steep learning curve and direct C-suite exposure.
32,Yes,Digital Transformation,Strategy Principal,MBA,5,13,1,4,2,Single,10890,3,Yes,Travel_Frequently,3,15,1,0,4,0,0,0,Management Consulting & Advisory,Unrealistic client deadlines with shifting scopes.
