Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
27,Yes,Corporate Strategy,VP of Operations,Economics,3,1,2,4,3,Divorced,19247,3,Yes,Travel_Rarely,3,13,1,4,4,2,4,2,Executive & Senior Leadership,Extreme isolation at the top of the organization.
36,No,Corporate Strategy,VP of Operations,Doctorate,4,1,4,3,3,Single,20182,2,No,Travel_Rarely,4,23,2,0,8,0,0,0,Executive & Senior Leadership,Direct stewardship of enterprise vision and P&L.
35,No,Corporate Strategy,Managing Director,MBA,4,25,4,3,2,Divorced,17979,2,Yes,Travel_Frequently,3,23,5,0,2,0,0,0,Executive & Senior Leadership,Executive equity vesting and comprehensive bonuses.
34,No,Corporate Strategy,Senior Director,Economics,3,5,3,3,4,Divorced,22555,4,Yes,Travel_Frequently,3,20,2,1,12,1,1,0,Executive & Senior Leadership,High governance authority and top-tier resources.
36,No,Corporate Strategy,VP of Operations,Law,3,3,2,2,4,Single,24708,3,Yes,Travel_Rarely,4,13,1,10,14,3,0,5,Executive & Senior Leadership,Extreme isolation at the top of the organization.
38,No,General Management,Senior Director,Economics,1,3,3,4,3,Single,18461,3,Yes,Travel_Frequently,3,14,3,0,4,0,0,0,Executive & Senior Leadership,Executive equity vesting and comprehensive bonuses.
38,Yes,Corporate Strategy,VP of Operations,Law,3,11,3,4,3,Married,23423,2,Yes,Travel_Frequently,3,15,3,7,13,6,0,3,Executive & Senior Leadership,Extreme isolation at the top of the organization.
34,No,Finance Leadership,Chief of Staff,Economics,3,22,3,3,3,Divorced,18666,2,Yes,Travel_Rarely,3,23,1,2,3,0,0,0,Executive & Senior Leadership,Executive equity vesting and comprehensive bonuses.
36,Yes,General Management,Chief of Staff,Doctorate,4,3,3,4,2,Divorced,21267,2,Yes,Travel_Rarely,3,18,2,5,12,1,0,1,Executive & Senior Leadership,Board friction and misaligned activist investor targets.
38,No,Corporate Strategy,Chief of Staff,MBA,3,3,3,3,2,Single,25115,2,No,Travel_Rarely,3,19,3,7,14,2,1,0,Executive & Senior Leadership,High governance authority and top-tier resources.
28,No,Finance Leadership,Senior Director,MBA,3,8,4,3,3,Single,18383,2,Yes,Travel_Frequently,3,23,5,1,3,0,1,1,Executive & Senior Leadership,Direct stewardship of enterprise vision and P&L.
38,Yes,Finance Leadership,Managing Director,Doctorate,3,6,3,3,3,Divorced,22478,2,No,Travel_Frequently,3,12,4,5,11,2,1,0,Executive & Senior Leadership,Extreme isolation at the top of the organization.
51,Yes,Finance Leadership,Managing Director,Law,3,15,3,3,2,Divorced,17500,3,Yes,Travel_Rarely,3,23,5,0,0,0,0,0,Executive & Senior Leadership,Board friction and misaligned activist investor targets.
32,No,Finance Leadership,Chief of Staff,Law,3,2,4,2,3,Single,19828,4,No,Travel_Rarely,3,14,3,4,4,4,1,3,Executive & Senior Leadership,Extreme isolation at the top of the organization.
48,No,General Management,VP of Operations,MBA,3,3,3,3,3,Single,19884,2,No,Travel_Frequently,3,22,5,3,4,1,3,2,Executive & Senior Leadership,Executive equity vesting and comprehensive bonuses.
32,No,Finance Leadership,Senior Director,Doctorate,4,11,3,3,3,Married,23764,4,No,Travel_Rarely,3,13,1,9,14,9,0,5,Executive & Senior Leadership,Direct stewardship of enterprise vision and P&L.
41,Yes,Corporate Strategy,VP of Operations,Law,4,3,2,2,4,Divorced,18770,1,No,Travel_Rarely,3,20,1,0,1,0,0,0,Executive & Senior Leadership,Total accountability for macroeconomic headwinds.
43,No,Finance Leadership,VP of Operations,Law,2,9,1,4,2,Divorced,23179,3,Yes,Travel_Frequently,3,20,4,10,11,4,0,4,Executive & Senior Leadership,Executive equity vesting and comprehensive bonuses.
30,Yes,Corporate Strategy,Managing Director,Doctorate,2,1,3,1,4,Divorced,22425,1,Yes,Travel_Rarely,4,14,5,2,10,2,2,1,Executive & Senior Leadership,Extreme isolation at the top of the organization.
38,No,General Management,Managing Director,MBA,3,20,3,1,4,Divorced,18200,5,No,Travel_Rarely,3,25,4,1,1,1,1,0,Executive & Senior Leadership,Total accountability for macroeconomic headwinds.
