Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
29,Yes,Strategic Planning,Talent Acquisition Lead,Human Resources,4,9,3,4,1,Divorced,7964,1,Yes,Non-Travel,3,19,5,9,10,5,1,3,Hybrid Corporate Enterprise,Endless Zoom meetings while physically sitting in the office.
40,No,Strategic Planning,HR Business Partner,Human Resources,3,1,3,1,3,Married,7017,0,No,Travel_Rarely,3,15,3,4,5,1,2,1,Hybrid Corporate Enterprise,Endless Zoom meetings while physically sitting in the office.
45,No,Strategic Planning,HR Business Partner,Psychology,3,1,4,3,4,Single,7204,2,Yes,Non-Travel,3,14,1,3,3,2,1,0,Hybrid Corporate Enterprise,Modern headquarters with collaborative breakout spaces.
33,No,Strategic Planning,Operations Analyst,Human Resources,2,6,3,2,3,Single,9257,1,Yes,Non-Travel,3,19,3,12,12,5,2,7,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
32,No,Shared Services,HR Business Partner,Psychology,4,1,3,1,3,Single,7344,0,No,Non-Travel,3,14,3,0,3,0,0,0,Hybrid Corporate Enterprise,Endless Zoom meetings while physically sitting in the office.
32,No,Human Resources,Talent Acquisition Lead,Business Admin,3,5,3,2,3,Married,8245,4,Yes,Non-Travel,3,22,5,3,7,2,1,0,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
45,No,Human Resources,Talent Acquisition Lead,Human Resources,3,4,3,2,3,Divorced,6930,2,No,Non-Travel,3,14,3,0,2,0,0,0,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
40,No,Human Resources,HR Business Partner,Psychology,5,18,4,3,3,Single,6982,1,No,Travel_Rarely,3,14,3,0,4,0,0,0,Hybrid Corporate Enterprise,Clear enterprise benefits and annual performance reviews.
43,No,Human Resources,Operations Analyst,Business Admin,1,7,3,3,3,Single,6042,2,No,Non-Travel,3,11,2,0,0,0,0,0,Hybrid Corporate Enterprise,Clear enterprise benefits and annual performance reviews.
21,No,Strategic Planning,HR Business Partner,Business Admin,3,5,1,4,3,Single,7179,3,No,Travel_Rarely,3,13,4,0,3,0,0,0,Hybrid Corporate Enterprise,Modern headquarters with collaborative breakout spaces.
33,Yes,Human Resources,Talent Acquisition Lead,Psychology,3,1,4,2,2,Single,6883,2,Yes,Non-Travel,3,16,5,0,2,0,0,0,Hybrid Corporate Enterprise,Return-to-office mandates causing commute resentment.
27,Yes,Shared Services,HR Business Partner,Business Admin,5,8,3,4,4,Single,8305,4,No,Travel_Rarely,3,17,4,7,9,3,7,2,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
41,Yes,Shared Services,Operations Analyst,Psychology,3,1,4,1,2,Married,6702,2,No,Travel_Rarely,3,14,1,3,3,0,0,1,Hybrid Corporate Enterprise,Return-to-office mandates causing commute resentment.
37,No,Strategic Planning,Operations Analyst,Psychology,3,19,3,1,3,Divorced,9146,6,No,Non-Travel,3,13,1,2,14,0,1,0,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
25,Yes,Strategic Planning,Talent Acquisition Lead,Business Admin,2,5,4,3,4,Divorced,7369,2,No,Non-Travel,3,24,5,1,6,1,1,0,Hybrid Corporate Enterprise,Endless Zoom meetings while physically sitting in the office.
30,No,Human Resources,HR Business Partner,Psychology,2,1,4,3,2,Married,9009,1,No,Non-Travel,3,22,1,5,12,3,0,1,Hybrid Corporate Enterprise,Balanced 3-days in-office / 2-days remote arrangement.
25,No,Human Resources,Operations Analyst,Human Resources,5,20,1,3,3,Married,7628,3,No,Non-Travel,3,21,4,1,4,1,1,0,Hybrid Corporate Enterprise,Clear enterprise benefits and annual performance reviews.
30,No,Shared Services,Operations Analyst,Human Resources,4,2,2,3,4,Married,6378,2,No,Travel_Rarely,3,16,1,0,0,0,0,0,Hybrid Corporate Enterprise,Clear enterprise benefits and annual performance reviews.
44,Yes,Shared Services,Talent Acquisition Lead,Psychology,3,1,4,3,1,Divorced,8404,2,No,Travel_Rarely,3,11,1,3,8,0,0,0,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
37,No,Shared Services,HR Business Partner,Business Admin,5,3,3,1,3,Married,7998,2,No,Non-Travel,3,25,1,4,11,2,0,0,Hybrid Corporate Enterprise,Return-to-office mandates causing commute resentment.
39,No,Strategic Planning,Talent Acquisition Lead,Human Resources,3,20,3,3,3,Single,9206,3,No,Travel_Rarely,3,14,1,2,14,1,2,2,Hybrid Corporate Enterprise,Balanced 3-days in-office / 2-days remote arrangement.
38,No,Human Resources,Operations Analyst,Human Resources,2,4,1,1,4,Divorced,6549,5,No,Travel_Rarely,3,25,1,2,2,1,2,0,Hybrid Corporate Enterprise,Return-to-office mandates causing commute resentment.
48,Yes,Human Resources,HR Business Partner,Business Admin,1,9,3,2,2,Single,6877,1,No,Non-Travel,4,15,3,2,2,0,1,0,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
37,No,Shared Services,Talent Acquisition Lead,Human Resources,3,5,3,4,3,Married,6667,1,No,Travel_Rarely,3,23,1,2,3,1,2,1,Hybrid Corporate Enterprise,Clear enterprise benefits and annual performance reviews.
34,No,Human Resources,Operations Analyst,Psychology,2,2,3,2,4,Single,6084,2,No,Non-Travel,3,16,5,0,0,0,0,0,Hybrid Corporate Enterprise,Hybrid parity issues where in-office staff get promoted faster.
30,No,Strategic Planning,Operations Analyst,Psychology,3,3,4,2,2,Married,9258,2,No,Travel_Rarely,3,12,2,10,12,3,1,2,Hybrid Corporate Enterprise,Return-to-office mandates causing commute resentment.
41,No,Human Resources,Talent Acquisition Lead,Business Admin,3,11,3,3,2,Single,7539,1,No,Non-Travel,3,16,5,0,6,0,0,0,Hybrid Corporate Enterprise,Balanced 3-days in-office / 2-days remote arrangement.
31,Yes,Human Resources,HR Business Partner,Psychology,3,21,4,3,1,Divorced,9012,1,No,Non-Travel,4,23,4,0,11,0,0,0,Hybrid Corporate Enterprise,Return-to-office mandates causing commute resentment.
31,No,Shared Services,Talent Acquisition Lead,Human Resources,4,13,1,3,1,Single,7425,3,No,Travel_Rarely,4,18,4,6,6,3,2,1,Hybrid Corporate Enterprise,Clear enterprise benefits and annual performance reviews.
