Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
42,No,Investment Banking,Financial Analyst,Finance,1,5,3,4,3,Single,10681,0,No,Travel_Rarely,3,19,3,1,1,0,1,0,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
23,Yes,Investment Banking,Financial Analyst,Economics,3,5,4,4,4,Single,10338,3,No,Travel_Frequently,3,18,5,0,0,0,0,0,Finance & Investment Banking,Strict non-compete clauses and high manager scrutiny.
52,No,Wealth Management,Portfolio Manager,Applied Mathematics,4,2,4,3,2,Divorced,12217,1,No,Travel_Frequently,3,16,4,0,3,0,0,0,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
35,Yes,Investment Banking,Financial Analyst,Economics,3,1,2,4,3,Married,16217,1,Yes,Travel_Frequently,3,22,5,9,12,3,0,3,Finance & Investment Banking,Strict non-compete clauses and high manager scrutiny.
36,No,Investment Banking,Associate Director,Business,3,12,3,3,3,Divorced,14598,1,No,Travel_Rarely,3,11,5,6,10,0,2,0,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
43,No,Wealth Management,Risk Auditor,Business,2,1,3,1,3,Divorced,10435,2,Yes,Travel_Frequently,3,16,1,0,0,0,0,0,Finance & Investment Banking,80-hour work weeks leaving zero work-life balance.
32,Yes,Wealth Management,Financial Analyst,Economics,2,1,3,4,1,Married,11736,0,No,Travel_Rarely,3,20,2,1,2,0,1,1,Finance & Investment Banking,Hyper-competitive culture and brutal performance ranking.
28,No,Wealth Management,Financial Analyst,Business,5,2,1,2,1,Married,13197,4,No,Travel_Rarely,3,19,1,3,7,0,0,0,Finance & Investment Banking,Hyper-competitive culture and brutal performance ranking.
34,No,Investment Banking,Risk Auditor,Applied Mathematics,3,2,3,2,2,Single,18357,1,No,Travel_Rarely,3,18,1,11,16,6,1,2,Finance & Investment Banking,Strict non-compete clauses and high manager scrutiny.
34,No,Wealth Management,Associate Director,Finance,4,9,2,2,3,Divorced,13838,5,Yes,Travel_Rarely,3,15,5,0,8,0,0,0,Finance & Investment Banking,80-hour work weeks leaving zero work-life balance.
23,No,Investment Banking,Associate Director,Business,3,7,2,3,1,Divorced,12092,2,No,Travel_Rarely,3,17,4,0,5,0,0,0,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
40,Yes,Investment Banking,Portfolio Manager,Economics,3,9,3,4,1,Single,13705,1,No,Travel_Rarely,3,19,4,5,5,2,0,0,Finance & Investment Banking,Hyper-competitive culture and brutal performance ranking.
28,No,Risk & Quantitative Analysis,Risk Auditor,Applied Mathematics,3,3,3,2,3,Divorced,11819,2,No,Travel_Rarely,3,22,4,0,3,0,0,0,Finance & Investment Banking,Hyper-competitive culture and brutal performance ranking.
53,Yes,Wealth Management,Portfolio Manager,Economics,4,2,2,3,2,Single,12410,5,Yes,Travel_Rarely,3,13,5,2,4,0,0,0,Finance & Investment Banking,80-hour work weeks leaving zero work-life balance.
37,No,Investment Banking,Financial Analyst,Finance,4,1,3,3,1,Married,13223,5,No,Travel_Frequently,4,18,2,4,4,0,1,0,Finance & Investment Banking,Unrivaled networking and institutional exposure.
46,No,Wealth Management,Associate Director,Applied Mathematics,3,1,1,3,3,Single,14797,0,No,Travel_Frequently,3,22,5,5,10,3,1,1,Finance & Investment Banking,Fast-paced deal execution and sharp financial minds.
31,No,Investment Banking,Portfolio Manager,Business,4,3,3,4,2,Divorced,11433,2,Yes,Travel_Rarely,3,19,5,2,2,0,0,0,Finance & Investment Banking,Unrivaled networking and institutional exposure.
41,No,Investment Banking,Financial Analyst,Business,2,14,4,3,2,Married,18220,0,Yes,Travel_Frequently,4,21,1,5,16,3,0,1,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
44,No,Investment Banking,Associate Director,Applied Mathematics,3,10,3,3,3,Married,10665,2,Yes,Travel_Frequently,3,21,3,0,0,0,0,0,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
25,No,Risk & Quantitative Analysis,Risk Auditor,Business,3,3,3,4,2,Divorced,13602,3,No,Travel_Rarely,3,25,2,4,7,3,1,0,Finance & Investment Banking,Fast-paced deal execution and sharp financial minds.
39,Yes,Risk & Quantitative Analysis,Risk Auditor,Applied Mathematics,3,14,1,3,3,Married,14175,4,Yes,Travel_Rarely,3,25,2,7,8,3,1,2,Finance & Investment Banking,Hyper-competitive culture and brutal performance ranking.
21,Yes,Wealth Management,Financial Analyst,Applied Mathematics,1,5,4,2,3,Single,12805,3,Yes,Travel_Rarely,3,12,2,0,3,0,0,0,Finance & Investment Banking,80-hour work weeks leaving zero work-life balance.
30,No,Risk & Quantitative Analysis,Associate Director,Economics,4,2,4,4,4,Divorced,14384,0,Yes,Travel_Frequently,3,24,3,5,12,3,1,2,Finance & Investment Banking,Fast-paced deal execution and sharp financial minds.
47,No,Investment Banking,Portfolio Manager,Economics,3,1,3,3,1,Divorced,11981,0,Yes,Travel_Frequently,3,22,4,1,3,0,1,0,Finance & Investment Banking,Unrivaled networking and institutional exposure.
34,Yes,Risk & Quantitative Analysis,Risk Auditor,Applied Mathematics,3,8,4,1,1,Divorced,12918,2,Yes,Travel_Frequently,3,19,4,3,8,3,0,2,Finance & Investment Banking,Strict non-compete clauses and high manager scrutiny.
28,No,Wealth Management,Portfolio Manager,Finance,3,5,2,2,4,Single,13324,3,No,Travel_Rarely,4,15,5,7,8,5,0,2,Finance & Investment Banking,Strict non-compete clauses and high manager scrutiny.
42,No,Wealth Management,Associate Director,Applied Mathematics,2,6,2,3,4,Married,13061,3,Yes,Travel_Rarely,3,17,2,5,5,2,1,1,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
33,No,Risk & Quantitative Analysis,Associate Director,Applied Mathematics,4,1,3,2,2,Single,14137,2,Yes,Travel_Rarely,4,20,3,8,8,3,0,3,Finance & Investment Banking,Strict non-compete clauses and high manager scrutiny.
46,No,Risk & Quantitative Analysis,Financial Analyst,Finance,2,20,2,3,2,Married,17198,3,Yes,Travel_Rarely,3,17,2,12,14,5,4,3,Finance & Investment Banking,Exceptional annual performance bonuses and prestige.
40,No,Wealth Management,Financial Analyst,Applied Mathematics,3,35,3,4,3,Married,12838,0,No,Travel_Rarely,3,20,2,4,6,1,4,0,Finance & Investment Banking,Fast-paced deal execution and sharp financial minds.
38,No,Risk & Quantitative Analysis,Risk Auditor,Economics,4,1,1,2,3,Divorced,12604,1,No,Travel_Frequently,3,12,5,1,3,0,1,0,Finance & Investment Banking,80-hour work weeks leaving zero work-life balance.
42,Yes,Risk & Quantitative Analysis,Risk Auditor,Applied Mathematics,5,18,4,3,2,Divorced,13658,5,No,Travel_Rarely,3,18,5,0,10,0,0,0,Finance & Investment Banking,Hyper-competitive culture and brutal performance ranking.
35,No,Investment Banking,Associate Director,Economics,4,6,3,1,2,Married,17376,2,Yes,Travel_Rarely,4,13,5,7,14,3,2,0,Finance & Investment Banking,Strict non-compete clauses and high manager scrutiny.
