Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
41,No,Plant Operations,Assembly Lead,Industrial Technology,3,1,3,2,3,Married,4954,6,No,Travel_Rarely,3,14,3,0,2,0,0,0,Manufacturing & Heavy Industrial,Rigid hierarchy with no voice for shop-floor feedback.
38,Yes,Quality Assurance,Plant Engineer,Industrial Technology,3,2,4,2,2,Married,4878,2,Yes,Non-Travel,3,20,1,1,2,1,1,1,Manufacturing & Heavy Industrial,Rigid hierarchy with no voice for shop-floor feedback.
39,Yes,Plant Maintenance,Operations Supervisor,Industrial Technology,4,5,3,4,1,Married,5002,4,No,Non-Travel,3,14,4,2,3,1,1,0,Manufacturing & Heavy Industrial,Physical strain and outdated factory ventilation.
43,Yes,Plant Operations,Assembly Lead,Industrial Technology,5,3,1,1,1,Single,4822,2,No,Non-Travel,3,15,4,1,2,0,1,0,Manufacturing & Heavy Industrial,Physical strain and outdated factory ventilation.
25,No,Quality Assurance,Operations Supervisor,Industrial Technology,1,9,3,4,3,Married,4994,6,Yes,Travel_Rarely,3,24,4,5,5,4,3,2,Manufacturing & Heavy Industrial,Pride in physical machinery and production output.
24,No,Plant Maintenance,Plant Engineer,Technical Trade,3,9,1,2,2,Married,4777,3,Yes,Travel_Rarely,4,14,5,1,1,0,0,0,Manufacturing & Heavy Industrial,Repetitive daily tasks with slow promotion cycles.
34,No,Plant Operations,Safety Inspector,Mechanical Engineering,2,11,3,4,1,Single,4885,2,No,Travel_Rarely,3,24,5,2,4,2,0,2,Manufacturing & Heavy Industrial,Predictable shift routines and strong union benefits.
50,No,Plant Operations,Plant Engineer,Technical Trade,3,5,2,3,2,Single,5165,2,No,Non-Travel,3,23,2,0,6,0,0,0,Manufacturing & Heavy Industrial,Predictable shift routines and strong union benefits.
25,Yes,Plant Operations,Operations Supervisor,Mechanical Engineering,3,25,3,2,2,Divorced,5341,3,No,Non-Travel,3,24,1,5,7,0,5,3,Manufacturing & Heavy Industrial,Rigid hierarchy with no voice for shop-floor feedback.
43,No,Plant Maintenance,Plant Engineer,Technical Trade,3,20,2,3,2,Divorced,4834,1,Yes,Travel_Rarely,3,11,5,1,2,1,0,0,Manufacturing & Heavy Industrial,Predictable shift routines and strong union benefits.
