Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
34,Yes,Commercial Accounts,Solutions Specialist,Communications,3,7,2,3,2,Divorced,9042,1,No,Travel_Rarely,3,15,2,0,3,0,0,0,Enterprise B2B Sales,Unattainable quota increases after territory reshuffles.
21,Yes,Enterprise Sales,BDR Lead,Communications,2,2,3,3,4,Married,9445,2,Yes,Travel_Frequently,3,23,4,1,3,1,1,0,Enterprise B2B Sales,Unattainable quota increases after territory reshuffles.
41,No,Enterprise Sales,Account Executive,Communications,4,6,3,2,4,Single,8648,3,No,Travel_Frequently,3,20,3,0,4,0,0,0,Enterprise B2B Sales,High base salary disparity among newly hired peers.
37,Yes,Enterprise Sales,BDR Lead,Communications,3,15,2,2,3,Single,7660,2,Yes,Travel_Frequently,4,15,4,1,1,1,1,1,Enterprise B2B Sales,Unattainable quota increases after territory reshuffles.
49,Yes,Commercial Accounts,BDR Lead,Business,4,1,4,2,3,Single,8481,2,No,Travel_Frequently,3,18,4,2,2,0,0,0,Enterprise B2B Sales,Unattainable quota increases after territory reshuffles.
33,No,Commercial Accounts,Solutions Specialist,Communications,2,4,2,3,3,Divorced,11032,2,No,Travel_Frequently,3,13,2,3,8,1,3,2,Enterprise B2B Sales,High energy team and great quarterly sales kickoffs.
40,No,Commercial Accounts,BDR Lead,Business,4,5,3,3,3,Divorced,9811,3,No,Travel_Rarely,3,19,5,6,6,2,2,1,Enterprise B2B Sales,Strong inbound lead pipeline and marketing support.
33,No,Enterprise Sales,BDR Lead,Marketing,3,2,4,2,2,Divorced,11527,2,No,Travel_Frequently,3,25,1,3,9,2,1,3,Enterprise B2B Sales,Stressful end-of-quarter pressure and pipeline micromanagement.
32,No,Business Development,Sales Director,Communications,3,4,3,4,4,Married,8600,3,Yes,Travel_Frequently,3,23,3,0,1,0,0,0,Enterprise B2B Sales,Uncapped commission accelerators on mega deals.
48,No,Business Development,Solutions Specialist,Marketing,3,22,4,4,1,Married,8751,2,No,Travel_Frequently,4,13,5,0,4,0,0,0,Enterprise B2B Sales,Strong inbound lead pipeline and marketing support.
37,No,Enterprise Sales,Sales Director,Marketing,4,13,3,3,2,Single,8954,4,Yes,Travel_Rarely,3,13,1,0,3,0,0,0,Enterprise B2B Sales,Strong inbound lead pipeline and marketing support.
37,No,Enterprise Sales,Solutions Specialist,Marketing,4,9,3,3,3,Divorced,8009,3,No,Travel_Frequently,4,15,5,1,1,0,1,0,Enterprise B2B Sales,Uncapped commission accelerators on mega deals.
37,Yes,Business Development,BDR Lead,Marketing,5,7,4,4,2,Single,10165,1,No,Travel_Frequently,3,24,2,7,8,0,0,0,Enterprise B2B Sales,Unattainable quota increases after territory reshuffles.
31,No,Business Development,Sales Director,Business,5,3,3,4,2,Married,11780,3,Yes,Travel_Rarely,3,11,2,0,12,0,0,0,Enterprise B2B Sales,Strong inbound lead pipeline and marketing support.
43,No,Business Development,Solutions Specialist,Marketing,3,3,3,3,2,Married,8680,0,Yes,Travel_Frequently,3,16,1,1,1,0,1,0,Enterprise B2B Sales,High energy team and great quarterly sales kickoffs.
38,No,Commercial Accounts,Solutions Specialist,Communications,3,8,3,1,2,Single,11707,3,No,Travel_Frequently,3,17,5,1,11,0,1,0,Enterprise B2B Sales,High base salary disparity among newly hired peers.
28,Yes,Commercial Accounts,Account Executive,Marketing,3,7,3,3,3,Married,7434,3,Yes,Travel_Frequently,3,12,5,0,0,0,0,0,Enterprise B2B Sales,High base salary disparity among newly hired peers.
33,Yes,Commercial Accounts,Solutions Specialist,Communications,3,1,1,4,2,Single,9002,1,No,Travel_Frequently,3,25,5,2,2,2,2,2,Enterprise B2B Sales,High base salary disparity among newly hired peers.
41,Yes,Business Development,Sales Director,Marketing,4,3,2,3,4,Single,8474,1,No,Travel_Frequently,3,12,1,0,1,0,0,0,Enterprise B2B Sales,Stressful end-of-quarter pressure and pipeline micromanagement.
44,No,Commercial Accounts,Account Executive,Communications,4,1,4,3,2,Single,9639,4,Yes,Travel_Frequently,3,12,5,0,8,0,0,0,Enterprise B2B Sales,High energy team and great quarterly sales kickoffs.
33,No,Business Development,Solutions Specialist,Communications,3,1,4,3,2,Married,9108,1,No,Travel_Rarely,3,24,3,2,3,2,1,2,Enterprise B2B Sales,High energy team and great quarterly sales kickoffs.
