Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
49,Yes,Grid Operations,Power Grid Engineer,Mechanical Engineering,4,4,2,2,3,Married,10218,1,No,Travel_Rarely,3,18,4,1,11,1,1,1,"Energy, Oil & Renewable Utilities",Rigid regulatory paperwork and severe safety pressure.
45,No,Renewable Asset Mgmt,Asset Manager,Mechanical Engineering,5,2,1,3,3,Married,7054,1,No,Travel_Frequently,3,16,4,0,0,0,0,0,"Energy, Oil & Renewable Utilities",Critical infrastructure impact keeping communities powered.
27,Yes,Field Engineering,Asset Manager,Mechanical Engineering,4,9,1,1,3,Divorced,7710,3,Yes,Travel_Rarely,3,22,3,1,3,0,1,1,"Energy, Oil & Renewable Utilities",Rigid regulatory paperwork and severe safety pressure.
23,No,Grid Operations,Field Operations Tech,Geology,4,25,1,3,1,Divorced,8984,2,No,Travel_Frequently,4,22,5,3,5,0,1,0,"Energy, Oil & Renewable Utilities",Critical infrastructure impact keeping communities powered.
42,No,Grid Operations,Asset Manager,Electrical Engineering,3,8,4,3,3,Divorced,10122,2,No,Travel_Rarely,3,12,4,1,10,0,0,0,"Energy, Oil & Renewable Utilities",Top-tier compensation and generous hazard pay allowances.
38,No,Renewable Asset Mgmt,Field Operations Tech,Mechanical Engineering,2,4,4,4,4,Married,12679,2,No,Travel_Frequently,3,12,4,6,20,3,0,4,"Energy, Oil & Renewable Utilities",Critical infrastructure impact keeping communities powered.
38,No,Renewable Asset Mgmt,Asset Manager,Mechanical Engineering,1,2,4,3,3,Married,7676,1,No,Travel_Frequently,3,16,3,0,0,0,0,0,"Energy, Oil & Renewable Utilities",Top-tier compensation and generous hazard pay allowances.
40,No,Field Engineering,Asset Manager,Geology,4,1,2,2,1,Married,7273,2,Yes,Travel_Frequently,3,11,1,0,0,0,0,0,"Energy, Oil & Renewable Utilities",Commodity price down-cycles trigger periodic hiring freezes.
36,No,Field Engineering,Asset Manager,Electrical Engineering,2,1,3,3,2,Married,9367,2,No,Travel_Rarely,4,24,5,4,6,4,1,4,"Energy, Oil & Renewable Utilities",Critical infrastructure impact keeping communities powered.
38,No,Grid Operations,Power Grid Engineer,Geology,3,17,3,3,4,Married,9819,1,No,Travel_Rarely,3,15,5,6,8,6,5,4,"Energy, Oil & Renewable Utilities",Critical infrastructure impact keeping communities powered.
34,Yes,Grid Operations,Power Grid Engineer,Mechanical Engineering,5,25,4,3,4,Single,9287,4,Yes,Travel_Rarely,3,13,2,9,9,4,1,1,"Energy, Oil & Renewable Utilities",Commodity price down-cycles trigger periodic hiring freezes.
35,Yes,Field Engineering,Field Operations Tech,Geology,2,1,3,2,3,Divorced,11329,3,No,Travel_Rarely,3,14,1,1,12,0,1,0,"Energy, Oil & Renewable Utilities",Rotational remote field work away from family for weeks.
45,No,Grid Operations,Field Operations Tech,Geology,3,31,4,2,4,Married,11863,1,No,Travel_Rarely,4,17,3,12,21,9,0,7,"Energy, Oil & Renewable Utilities",Rotational remote field work away from family for weeks.
41,Yes,Grid Operations,Power Grid Engineer,Electrical Engineering,2,5,1,4,3,Single,8247,1,Yes,Travel_Rarely,3,23,4,2,2,0,2,0,"Energy, Oil & Renewable Utilities",Commodity price down-cycles trigger periodic hiring freezes.
26,Yes,Renewable Asset Mgmt,Power Grid Engineer,Mechanical Engineering,5,4,3,1,2,Married,7620,1,No,Travel_Frequently,3,18,3,0,0,0,0,0,"Energy, Oil & Renewable Utilities",Rotational remote field work away from family for weeks.
38,No,Field Engineering,Field Operations Tech,Mechanical Engineering,4,1,1,2,2,Single,9385,4,No,Travel_Frequently,3,23,4,3,7,0,0,0,"Energy, Oil & Renewable Utilities",Rigid regulatory paperwork and severe safety pressure.
47,No,Grid Operations,Field Operations Tech,Geology,3,1,3,2,3,Divorced,8970,2,No,Travel_Rarely,4,24,4,4,4,3,1,1,"Energy, Oil & Renewable Utilities",Rigid regulatory paperwork and severe safety pressure.
24,No,Field Engineering,Power Grid Engineer,Mechanical Engineering,3,3,3,4,2,Single,8515,0,No,Travel_Frequently,3,24,4,1,6,1,0,0,"Energy, Oil & Renewable Utilities",Cutting-edge transition towards renewable wind and solar.
36,No,Renewable Asset Mgmt,Power Grid Engineer,Geology,4,3,1,3,4,Divorced,9235,2,Yes,Travel_Rarely,3,13,5,4,5,0,1,0,"Energy, Oil & Renewable Utilities",Top-tier compensation and generous hazard pay allowances.
42,No,Renewable Asset Mgmt,Power Grid Engineer,Geology,2,1,4,4,1,Married,8767,6,Yes,Travel_Rarely,3,18,4,1,7,0,1,0,"Energy, Oil & Renewable Utilities",Top-tier compensation and generous hazard pay allowances.
33,No,Grid Operations,Asset Manager,Electrical Engineering,3,1,3,3,3,Divorced,12127,4,No,Travel_Rarely,3,19,2,10,15,7,0,3,"Energy, Oil & Renewable Utilities",Top-tier compensation and generous hazard pay allowances.
