Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
38,Yes,Fleet Logistics,Supply Planner,Engineering,3,1,2,3,3,Married,5450,1,No,Travel_Rarely,3,14,3,1,5,0,1,0,Logistics & Global Supply Chain,Night shifts during holiday peaks are grueling.
22,No,Procurement,Supply Planner,Business,2,10,2,2,3,Divorced,5612,7,Yes,Travel_Frequently,3,22,3,2,4,0,1,0,Logistics & Global Supply Chain,Vendor delays and port backlogs create constant crises.
32,No,Procurement,Logistics Specialist,Engineering,3,4,4,3,1,Divorced,6611,3,Yes,Travel_Rarely,4,22,4,10,13,5,4,4,Logistics & Global Supply Chain,Dynamic problem solving across global freight lanes.
35,Yes,Distribution Hubs,Warehouse Manager,Supply Chain Management,3,1,2,3,1,Single,5477,1,No,Travel_Frequently,3,19,3,2,3,2,2,0,Logistics & Global Supply Chain,Little recognition when supply chains run smoothly.
34,No,Procurement,Logistics Specialist,Engineering,3,3,1,3,2,Divorced,5339,3,No,Travel_Frequently,3,13,4,2,5,0,2,0,Logistics & Global Supply Chain,Dynamic problem solving across global freight lanes.
36,No,Procurement,Supply Planner,Engineering,4,2,3,2,3,Divorced,4987,7,Yes,Travel_Frequently,3,19,4,0,0,0,0,0,Logistics & Global Supply Chain,Night shifts during holiday peaks are grueling.
38,No,Distribution Hubs,Logistics Specialist,Engineering,4,3,4,1,4,Married,6633,0,Yes,Travel_Frequently,3,19,1,7,14,3,0,4,Logistics & Global Supply Chain,Vendor delays and port backlogs create constant crises.
50,No,Distribution Hubs,Warehouse Manager,Engineering,4,1,3,3,3,Single,5993,1,No,Travel_Frequently,3,20,3,1,8,0,1,0,Logistics & Global Supply Chain,Solid overtime pay multipliers during peak holiday season.
31,No,Distribution Hubs,Warehouse Manager,Business,3,5,3,2,2,Single,5440,3,Yes,Travel_Rarely,3,18,4,3,5,1,2,0,Logistics & Global Supply Chain,Vendor delays and port backlogs create constant crises.
32,Yes,Fleet Logistics,Logistics Specialist,Supply Chain Management,5,4,4,4,1,Divorced,6315,3,Yes,Travel_Frequently,3,11,1,3,9,3,2,3,Logistics & Global Supply Chain,Vendor delays and port backlogs create constant crises.
39,No,Fleet Logistics,Logistics Specialist,Supply Chain Management,3,7,2,4,2,Married,4879,3,No,Travel_Rarely,3,14,2,0,1,0,0,0,Logistics & Global Supply Chain,Solid overtime pay multipliers during peak holiday season.
31,Yes,Fleet Logistics,Logistics Specialist,Engineering,5,1,3,1,1,Single,5120,0,No,Travel_Frequently,3,17,1,1,2,0,1,0,Logistics & Global Supply Chain,Little recognition when supply chains run smoothly.
39,Yes,Procurement,Warehouse Manager,Supply Chain Management,3,1,3,1,3,Single,6962,2,Yes,Travel_Rarely,3,17,5,14,21,7,1,5,Logistics & Global Supply Chain,Night shifts during holiday peaks are grueling.
46,Yes,Distribution Hubs,Fleet Coordinator,Engineering,4,1,4,3,4,Single,5062,1,Yes,Travel_Frequently,3,20,4,0,2,0,0,0,Logistics & Global Supply Chain,Vendor delays and port backlogs create constant crises.
36,Yes,Fleet Logistics,Warehouse Manager,Business,5,1,1,4,3,Divorced,6718,2,Yes,Travel_Frequently,4,25,3,0,11,0,0,0,Logistics & Global Supply Chain,Little recognition when supply chains run smoothly.
32,Yes,Distribution Hubs,Supply Planner,Supply Chain Management,2,5,3,2,2,Single,5560,3,No,Travel_Frequently,3,23,3,4,4,4,0,0,Logistics & Global Supply Chain,Little recognition when supply chains run smoothly.
35,Yes,Fleet Logistics,Logistics Specialist,Supply Chain Management,2,18,2,1,2,Divorced,7001,3,Yes,Travel_Rarely,3,19,1,7,13,6,0,7,Logistics & Global Supply Chain,Night shifts during holiday peaks are grueling.
40,No,Procurement,Supply Planner,Business,4,7,2,3,3,Married,6380,5,Yes,Travel_Frequently,3,22,5,5,11,3,0,0,Logistics & Global Supply Chain,Clear KPIs and modern tracking technologies.
35,No,Fleet Logistics,Logistics Specialist,Business,3,1,3,3,2,Married,7510,4,Yes,Travel_Rarely,3,15,2,8,17,2,3,0,Logistics & Global Supply Chain,Clear KPIs and modern tracking technologies.
38,Yes,Distribution Hubs,Fleet Coordinator,Business,3,21,3,2,1,Single,5311,4,Yes,Travel_Rarely,3,12,1,0,4,0,0,0,Logistics & Global Supply Chain,Night shifts during holiday peaks are grueling.
39,No,Procurement,Fleet Coordinator,Engineering,3,10,3,4,4,Married,6357,3,Yes,Travel_Rarely,3,20,3,6,11,4,0,1,Logistics & Global Supply Chain,Dynamic problem solving across global freight lanes.
33,Yes,Fleet Logistics,Logistics Specialist,Business,3,1,3,1,3,Married,6493,2,Yes,Travel_Rarely,3,21,4,13,15,8,4,7,Logistics & Global Supply Chain,Little recognition when supply chains run smoothly.
