Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,EmployeeFeedback
41,Yes,Sales,1,2,Life Sciences,2,4,Single,5993,8,1,6,Salary is too low
49,No,Research & Development,8,1,Life Sciences,3,2,Married,5130,1,3,10,Enjoy my work
37,Yes,Research & Development,2,2,Other,4,3,Single,2090,6,3,0,I feel stuck in my role
33,No,Research & Development,3,4,Life Sciences,4,3,Married,2909,1,3,8,I love my team
27,No,Research & Development,2,1,Medical,1,2,Married,3468,9,3,2,Good work life balance
32,No,Research & Development,2,2,Life Sciences,4,4,Single,3068,0,2,7,I love my team
59,No,Research & Development,3,3,Medical,3,1,Married,2670,4,2,1,Supportive management
30,No,Research & Development,24,1,Life Sciences,4,3,Divorced,2693,1,3,1,Great learning opportunities
38,No,Research & Development,23,3,Life Sciences,4,3,Single,9526,0,3,9,Great learning opportunities
36,No,Research & Development,27,3,Medical,3,3,Married,5237,6,2,7,I love my team
35,No,Research & Development,16,3,Medical,1,2,Married,2426,0,3,5,Great learning opportunities
29,No,Research & Development,15,2,Life Sciences,4,3,Single,4193,0,3,9,Good career growth
31,No,Research & Development,26,1,Life Sciences,1,3,Divorced,2911,1,2,5,Happy with my salary
34,No,Research & Development,19,2,Medical,2,4,Divorced,2661,0,3,2,Supportive management
28,Yes,Research & Development,24,3,Life Sciences,3,3,Single,2028,5,3,4,No career progression
29,No,Research & Development,21,4,Life Sciences,2,1,Divorced,9980,1,3,10,Good work life balance
32,No,Research & Development,5,2,Life Sciences,1,2,Divorced,3298,0,2,6,I love my team
22,No,Research & Development,16,2,Medical,4,4,Divorced,2935,1,2,1,Good career growth
53,No,Sales,2,4,Life Sciences,1,4,Married,15427,2,3,25,I love my team
38,No,Research & Development,2,3,Life Sciences,4,4,Single,3944,5,3,3,Supportive management
24,No,Research & Development,11,2,Other,1,3,Divorced,4011,0,2,4,Good career growth
36,Yes,Sales,9,4,Life Sciences,3,1,Single,3407,7,3,5,Poor work life balance
34,No,Research & Development,7,4,Life Sciences,1,2,Single,11994,0,3,12,Enjoy my work
