Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
45,Yes,Inpatient Nursing,Nurse Practitioner,Medical Science,3,15,3,2,2,Married,5679,3,Yes,Travel_Rarely,3,16,2,1,2,0,1,0,Healthcare & Clinical Services,Emotional fatigue and unsupportive floor leadership.
46,Yes,Emergency Medicine,ICU Specialist,Nursing,5,3,4,1,3,Single,6175,1,No,Travel_Rarely,3,14,2,5,6,5,1,3,Healthcare & Clinical Services,Mandatory weekend overtime is ruining family balance.
21,No,Inpatient Nursing,Registered Nurse,Medical Science,4,1,3,1,3,Married,5527,3,Yes,Non-Travel,3,13,4,1,1,0,1,0,Healthcare & Clinical Services,Understaffed shifts causing severe clinical burnout.
31,No,Intensive Care,Nurse Practitioner,Healthcare Admin,3,7,3,4,2,Married,5716,5,No,Non-Travel,3,18,1,2,2,0,1,0,Healthcare & Clinical Services,Deeply rewarding patient care and strong peer camaraderie.
42,No,Inpatient Nursing,Registered Nurse,Medical Science,5,11,3,1,2,Single,9351,1,Yes,Non-Travel,3,13,2,14,23,7,1,5,Healthcare & Clinical Services,Emotional fatigue and unsupportive floor leadership.
36,No,Intensive Care,Clinical Coordinator,Medical Science,3,4,3,2,4,Single,6933,6,Yes,Non-Travel,4,21,2,3,8,3,0,0,Healthcare & Clinical Services,Understaffed shifts causing severe clinical burnout.
46,Yes,Inpatient Nursing,Clinical Coordinator,Nursing,3,8,1,2,1,Single,5671,3,Yes,Travel_Rarely,3,20,2,0,0,0,0,0,Healthcare & Clinical Services,Understaffed shifts causing severe clinical burnout.
21,No,Inpatient Nursing,Registered Nurse,Nursing,3,1,4,4,3,Divorced,5804,6,Yes,Non-Travel,3,18,1,0,3,0,0,0,Healthcare & Clinical Services,Solid hospital benefits and retirement match.
29,Yes,Intensive Care,Nurse Practitioner,Medical Science,5,1,2,3,3,Single,6153,0,Yes,Travel_Rarely,3,21,4,4,4,0,1,1,Healthcare & Clinical Services,Mandatory weekend overtime is ruining family balance.
29,No,Intensive Care,ICU Specialist,Medical Science,3,6,2,1,2,Married,6360,4,Yes,Non-Travel,3,21,4,4,6,0,3,4,Healthcare & Clinical Services,Emotional fatigue and unsupportive floor leadership.
40,No,Inpatient Nursing,ICU Specialist,Healthcare Admin,1,3,3,2,3,Single,8029,2,No,Non-Travel,3,13,3,11,13,10,1,7,Healthcare & Clinical Services,Emotional fatigue and unsupportive floor leadership.
52,No,Inpatient Nursing,Registered Nurse,Medical Science,2,6,4,3,3,Divorced,10378,3,No,Travel_Rarely,3,23,1,5,25,3,1,3,Healthcare & Clinical Services,Deeply rewarding patient care and strong peer camaraderie.
