Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
56,Yes,Compliance Audit,Regulatory Specialist,Public Policy,4,2,4,2,4,Divorced,19474,2,Yes,Non-Travel,3,19,4,26,34,20,4,16,Legal & Corporate Compliance,High liability anxiety and risk aversion overhead.
37,Yes,Corporate Legal,Contracts Officer,Law,5,4,2,1,3,Single,13521,1,No,Non-Travel,4,21,4,4,14,1,0,0,Legal & Corporate Compliance,Uncompromising billable/audit tracking expectations.
47,No,Regulatory Affairs,Contracts Officer,Public Policy,3,10,4,3,1,Divorced,9777,2,Yes,Non-Travel,4,25,4,0,0,0,0,0,Legal & Corporate Compliance,Prestigious counsel positions with solid base pay.
48,Yes,Regulatory Affairs,Regulatory Specialist,Law,2,4,2,2,2,Divorced,11662,5,No,Travel_Rarely,3,18,3,4,5,4,0,4,Legal & Corporate Compliance,Tedious regulatory reporting cycles with strict deadlines.
41,No,Regulatory Affairs,Legal Counsel,Public Policy,5,4,2,2,3,Divorced,16373,2,Yes,Non-Travel,3,19,5,7,16,3,1,2,Legal & Corporate Compliance,Tedious regulatory reporting cycles with strict deadlines.
38,Yes,Corporate Legal,Legal Counsel,Finance,3,1,1,3,2,Married,14986,1,No,Non-Travel,3,20,1,0,17,0,0,0,Legal & Corporate Compliance,High liability anxiety and risk aversion overhead.
33,No,Compliance Audit,Legal Counsel,Public Policy,5,1,3,3,1,Married,10075,5,No,Travel_Rarely,3,12,1,1,1,1,0,1,Legal & Corporate Compliance,Prestigious counsel positions with solid base pay.
48,No,Corporate Legal,Legal Counsel,Public Policy,4,2,3,2,4,Married,13696,2,Yes,Travel_Rarely,3,25,3,0,10,0,0,0,Legal & Corporate Compliance,Uncompromising billable/audit tracking expectations.
34,No,Compliance Audit,Legal Counsel,Finance,3,16,2,3,2,Single,14296,3,No,Non-Travel,3,23,1,2,16,0,0,1,Legal & Corporate Compliance,Professional autonomy in legal opinion drafting.
27,No,Regulatory Affairs,Legal Counsel,Public Policy,1,1,3,4,3,Married,13859,3,Yes,Travel_Rarely,3,22,5,7,9,1,1,1,Legal & Corporate Compliance,High intellectual rigor and enterprise protection mandate.
35,Yes,Regulatory Affairs,Legal Counsel,Law,3,14,2,3,3,Married,11458,3,Yes,Non-Travel,3,13,4,0,4,0,0,0,Legal & Corporate Compliance,Tedious regulatory reporting cycles with strict deadlines.
35,No,Regulatory Affairs,Regulatory Specialist,Public Policy,3,6,4,4,3,Divorced,14060,1,Yes,Non-Travel,3,19,1,1,11,1,1,0,Legal & Corporate Compliance,Prestigious counsel positions with solid base pay.
38,No,Regulatory Affairs,Legal Counsel,Finance,3,8,2,2,4,Divorced,13740,4,Yes,Non-Travel,3,16,4,0,11,0,0,0,Legal & Corporate Compliance,Tedious regulatory reporting cycles with strict deadlines.
29,No,Corporate Legal,Compliance Analyst,Finance,4,4,4,4,4,Single,14435,3,No,Travel_Rarely,3,24,3,9,11,7,3,8,Legal & Corporate Compliance,Prestigious counsel positions with solid base pay.
43,No,Compliance Audit,Regulatory Specialist,Public Policy,3,1,3,3,2,Married,18284,3,No,Travel_Rarely,3,18,4,2,24,0,0,1,Legal & Corporate Compliance,Professional autonomy in legal opinion drafting.
43,Yes,Compliance Audit,Regulatory Specialist,Finance,3,1,3,1,2,Single,10632,1,Yes,Non-Travel,4,16,1,2,3,0,0,0,Legal & Corporate Compliance,Uncompromising billable/audit tracking expectations.
