Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
24,No,Brand Design,Content Strategist,Design,4,4,3,3,3,Divorced,6106,2,No,Non-Travel,3,18,4,4,6,4,0,1,Creative Agency & Digital Media,Portfolio-building campaigns for global brand clients.
38,No,Media Strategy,Senior Designer,Visual Arts,3,12,2,3,1,Single,5835,5,No,Non-Travel,3,12,2,0,2,0,0,0,Creative Agency & Digital Media,"Vibrant, energetic creative peers and dynamic projects."
31,Yes,Content Production,Art Director,Design,3,3,3,3,3,Married,6414,2,No,Travel_Rarely,3,12,3,3,5,3,0,2,Creative Agency & Digital Media,Lower retainer margins leading to delayed bonuses.
29,No,Brand Design,Senior Designer,Marketing,4,11,3,4,3,Married,5897,4,No,Travel_Rarely,3,16,3,1,3,0,0,0,Creative Agency & Digital Media,Portfolio-building campaigns for global brand clients.
47,No,Brand Design,Content Strategist,Communications,5,7,3,2,3,Single,7019,1,Yes,Non-Travel,4,16,4,2,10,0,1,0,Creative Agency & Digital Media,Lower retainer margins leading to delayed bonuses.
31,No,Media Strategy,Senior Designer,Visual Arts,4,8,4,4,3,Divorced,5543,5,No,Travel_Rarely,3,17,3,1,1,0,1,1,Creative Agency & Digital Media,Freedom to pitch novel aesthetic and storytelling ideas.
39,No,Content Production,Art Director,Visual Arts,3,9,3,2,2,Single,6382,2,No,Travel_Rarely,4,22,2,1,7,1,1,0,Creative Agency & Digital Media,Creative burnout under unrelenting delivery schedules.
30,Yes,Media Strategy,Content Strategist,Design,3,1,2,2,2,Single,6957,2,Yes,Travel_Rarely,3,25,3,6,11,2,0,3,Creative Agency & Digital Media,Creative burnout under unrelenting delivery schedules.
28,No,Content Production,Copy Lead,Visual Arts,3,1,3,4,1,Married,6707,2,No,Travel_Rarely,3,18,4,5,6,3,0,4,Creative Agency & Digital Media,"Vibrant, energetic creative peers and dynamic projects."
36,No,Media Strategy,Copy Lead,Visual Arts,4,2,1,3,2,Single,6483,3,No,Travel_Rarely,3,25,3,1,8,1,1,0,Creative Agency & Digital Media,Portfolio-building campaigns for global brand clients.
