Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
41,Yes,Civil Services,Policy Coordinator,Public Administration,2,3,1,3,4,Divorced,4973,1,No,Travel_Rarely,3,16,5,0,0,0,0,0,Public Sector & Government Agencies,Glacial bureaucratic processes and rigid hierarchy.
38,No,Public Administration,Policy Coordinator,Economics,3,6,3,4,4,Single,6588,3,Yes,Non-Travel,3,13,3,1,13,1,0,0,Public Sector & Government Agencies,Mission to serve public citizens and civil welfare.
39,No,Public Administration,Policy Coordinator,Political Science,3,1,2,3,2,Married,5429,0,Yes,Non-Travel,3,16,3,1,2,1,1,1,Public Sector & Government Agencies,"Unmatched job stability, state pension, and job security."
35,Yes,Policy Research,Policy Coordinator,Political Science,3,30,3,3,2,Single,7873,3,No,Non-Travel,3,19,1,3,16,0,0,0,Public Sector & Government Agencies,Pay grades strictly capped regardless of individual merit.
40,No,Civil Services,Policy Coordinator,Economics,3,4,4,4,3,Divorced,5654,1,No,Travel_Rarely,3,13,4,0,5,0,0,0,Public Sector & Government Agencies,Predictable 9-to-5 working hours with zero weekend calls.
40,No,Civil Services,Program Analyst,Economics,5,10,3,3,4,Married,5316,5,No,Travel_Rarely,3,16,1,1,2,1,1,0,Public Sector & Government Agencies,Predictable 9-to-5 working hours with zero weekend calls.
31,No,Public Administration,Policy Coordinator,Public Administration,4,2,4,3,1,Single,6795,4,No,Travel_Rarely,3,22,5,11,13,5,0,5,Public Sector & Government Agencies,"Unmatched job stability, state pension, and job security."
47,No,Civil Services,Program Analyst,Public Administration,2,3,3,3,4,Single,6538,1,No,Travel_Rarely,3,14,5,8,9,4,8,2,Public Sector & Government Agencies,Predictable 9-to-5 working hours with zero weekend calls.
32,No,Policy Research,Policy Coordinator,Political Science,4,3,2,3,4,Married,6384,1,No,Non-Travel,3,12,5,5,7,1,2,3,Public Sector & Government Agencies,"Unmatched job stability, state pension, and job security."
47,No,Policy Research,Policy Coordinator,Political Science,3,1,3,2,4,Divorced,6555,2,No,Travel_Rarely,3,14,3,1,10,1,0,1,Public Sector & Government Agencies,Pay grades strictly capped regardless of individual merit.
42,Yes,Public Administration,Policy Coordinator,Economics,5,1,4,2,1,Single,5699,4,No,Travel_Rarely,3,24,4,1,6,0,1,0,Public Sector & Government Agencies,Glacial bureaucratic processes and rigid hierarchy.
25,Yes,Policy Research,Policy Coordinator,Public Administration,3,33,2,3,4,Single,6185,3,No,Non-Travel,3,15,5,2,6,0,1,0,Public Sector & Government Agencies,Outdated technology systems and procurement bottlenecks.
34,No,Public Administration,Policy Coordinator,Economics,4,1,3,3,3,Single,5742,4,No,Travel_Rarely,3,11,2,1,6,0,1,1,Public Sector & Government Agencies,"Unmatched job stability, state pension, and job security."
43,No,Civil Services,Policy Coordinator,Political Science,2,4,4,3,3,Divorced,6178,3,No,Non-Travel,3,20,4,4,9,2,2,2,Public Sector & Government Agencies,"Unmatched job stability, state pension, and job security."
