Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
30,No,Customer Experience,Customer Lead,Business,3,1,1,3,2,Divorced,3164,3,No,Non-Travel,3,15,1,0,6,0,0,0,Retail & Consumer Operations,Friendly store team and flexible day shift scheduling.
43,Yes,Customer Experience,Inventory Specialist,Marketing,3,1,2,1,2,Married,2740,4,Yes,Non-Travel,3,14,4,0,0,0,0,0,Retail & Consumer Operations,High customer friction with little management backing.
35,Yes,Store Operations,Store Supervisor,Other,3,9,3,3,2,Single,3087,4,Yes,Non-Travel,3,12,3,0,5,0,0,0,Retail & Consumer Operations,Hourly wage is barely keeping up with cost of living.
45,Yes,Merchandising,Customer Lead,Business,3,4,4,2,2,Single,2773,3,No,Non-Travel,3,19,3,0,1,0,0,0,Retail & Consumer Operations,High customer friction with little management backing.
34,Yes,Store Operations,Merchandiser,Other,3,11,3,4,3,Married,3772,1,No,Non-Travel,3,18,2,0,14,0,0,0,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
47,No,Store Operations,Merchandiser,High School,4,2,3,4,4,Married,3999,3,No,Non-Travel,3,22,4,1,17,1,1,1,Retail & Consumer Operations,Clear entry-level progression to shift lead.
37,No,Store Operations,Merchandiser,Marketing,4,1,4,3,4,Single,3178,2,No,Non-Travel,3,17,2,0,5,0,0,0,Retail & Consumer Operations,Friendly store team and flexible day shift scheduling.
47,No,Store Operations,Customer Lead,High School,3,3,2,3,2,Single,3137,3,Yes,Non-Travel,3,20,4,0,6,0,0,0,Retail & Consumer Operations,Friendly store team and flexible day shift scheduling.
37,Yes,Merchandising,Customer Lead,Other,4,3,3,2,1,Single,3183,0,Yes,Non-Travel,3,15,5,4,5,0,4,1,Retail & Consumer Operations,High customer friction with little management backing.
47,No,Merchandising,Inventory Specialist,Other,2,10,3,2,1,Married,3078,6,Yes,Non-Travel,4,22,5,2,3,1,2,1,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
34,No,Merchandising,Store Supervisor,Marketing,3,2,3,2,3,Single,3582,5,No,Non-Travel,3,16,4,5,11,4,3,3,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
28,Yes,Customer Experience,Customer Lead,Marketing,3,5,3,2,1,Divorced,2878,1,No,Non-Travel,3,24,1,1,2,1,0,1,Retail & Consumer Operations,High customer friction with little management backing.
34,No,Store Operations,Inventory Specialist,Business,5,2,3,3,3,Divorced,3749,0,Yes,Non-Travel,3,11,5,8,14,6,2,5,Retail & Consumer Operations,Clear entry-level progression to shift lead.
29,No,Customer Experience,Customer Lead,Other,1,2,4,3,3,Single,3239,2,Yes,Non-Travel,3,21,4,1,7,0,0,0,Retail & Consumer Operations,Good staff discounts and customer interactions.
38,Yes,Store Operations,Store Supervisor,Business,3,2,3,1,3,Married,4092,1,Yes,Non-Travel,3,22,5,9,20,4,3,2,Retail & Consumer Operations,High customer friction with little management backing.
38,No,Store Operations,Customer Lead,Business,4,3,3,1,3,Divorced,3138,1,No,Non-Travel,3,12,3,2,3,2,2,0,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
30,No,Merchandising,Merchandiser,Business,3,5,3,3,3,Divorced,3566,3,Yes,Non-Travel,4,22,2,10,10,6,0,6,Retail & Consumer Operations,Clear entry-level progression to shift lead.
54,No,Store Operations,Inventory Specialist,Other,3,12,4,4,4,Married,3969,5,Yes,Non-Travel,3,18,2,17,21,11,4,6,Retail & Consumer Operations,Friendly store team and flexible day shift scheduling.
29,Yes,Merchandising,Inventory Specialist,High School,2,9,2,1,3,Married,3506,3,Yes,Non-Travel,3,24,5,1,11,1,0,1,Retail & Consumer Operations,High customer friction with little management backing.
27,No,Store Operations,Customer Lead,High School,3,18,2,4,3,Married,3593,4,Yes,Non-Travel,3,18,2,5,9,5,0,3,Retail & Consumer Operations,Clear entry-level progression to shift lead.
51,No,Customer Experience,Store Supervisor,Marketing,4,1,3,3,2,Single,3353,3,No,Non-Travel,3,15,1,4,6,3,4,4,Retail & Consumer Operations,Good staff discounts and customer interactions.
21,No,Merchandising,Customer Lead,Marketing,3,7,4,2,4,Single,2973,4,No,Non-Travel,3,20,2,0,3,0,0,0,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
27,Yes,Merchandising,Inventory Specialist,Other,3,7,3,2,3,Married,3035,3,No,Non-Travel,3,16,2,0,5,0,0,0,Retail & Consumer Operations,Hourly wage is barely keeping up with cost of living.
38,No,Store Operations,Store Supervisor,Marketing,4,1,2,3,4,Single,3253,3,Yes,Non-Travel,4,22,4,1,8,1,1,0,Retail & Consumer Operations,Good staff discounts and customer interactions.
35,Yes,Customer Experience,Store Supervisor,High School,5,2,3,2,3,Single,2989,4,Yes,Non-Travel,3,20,1,1,1,1,1,1,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
23,Yes,Customer Experience,Inventory Specialist,Marketing,4,3,4,3,1,Single,2857,5,No,Non-Travel,4,21,2,1,2,0,1,0,Retail & Consumer Operations,Hourly wage is barely keeping up with cost of living.
45,No,Customer Experience,Inventory Specialist,Other,5,7,3,3,3,Divorced,3336,2,No,Non-Travel,3,23,5,0,7,0,0,0,Retail & Consumer Operations,Good staff discounts and customer interactions.
29,Yes,Merchandising,Inventory Specialist,Business,1,1,2,1,3,Married,3688,2,No,Non-Travel,3,16,4,2,11,0,2,1,Retail & Consumer Operations,Hourly wage is barely keeping up with cost of living.
33,Yes,Customer Experience,Merchandiser,High School,3,1,2,2,1,Married,2771,3,Yes,Non-Travel,3,25,5,0,1,0,0,0,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
32,No,Store Operations,Inventory Specialist,High School,3,33,3,4,3,Single,3941,1,No,Non-Travel,3,23,5,3,14,1,1,0,Retail & Consumer Operations,Good staff discounts and customer interactions.
42,No,Merchandising,Inventory Specialist,Business,4,2,3,3,2,Single,4394,2,Yes,Non-Travel,3,21,4,22,24,12,2,10,Retail & Consumer Operations,Clear entry-level progression to shift lead.
50,Yes,Customer Experience,Merchandiser,Other,2,3,4,3,2,Single,3740,1,Yes,Non-Travel,3,12,2,10,16,9,1,4,Retail & Consumer Operations,High customer friction with little management backing.
31,No,Customer Experience,Store Supervisor,Business,3,1,4,4,1,Single,3016,4,No,Non-Travel,3,23,4,0,4,0,0,0,Retail & Consumer Operations,Friendly store team and flexible day shift scheduling.
38,Yes,Merchandising,Store Supervisor,Other,4,11,3,3,4,Married,3065,2,Yes,Non-Travel,3,23,3,1,2,0,1,1,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
32,Yes,Store Operations,Merchandiser,Other,5,7,3,2,3,Divorced,3078,2,Yes,Non-Travel,3,21,4,0,4,0,0,0,Retail & Consumer Operations,Hourly wage is barely keeping up with cost of living.
30,Yes,Customer Experience,Inventory Specialist,Other,3,25,4,3,2,Married,2997,3,Yes,Non-Travel,3,15,4,2,4,0,2,0,Retail & Consumer Operations,High customer friction with little management backing.
62,Yes,Merchandising,Inventory Specialist,High School,2,11,1,3,3,Divorced,2794,2,Yes,Non-Travel,3,18,4,0,1,0,0,0,Retail & Consumer Operations,Hourly wage is barely keeping up with cost of living.
41,No,Customer Experience,Customer Lead,Business,3,21,2,4,2,Divorced,3394,2,Yes,Non-Travel,3,14,1,7,10,1,1,0,Retail & Consumer Operations,Clear entry-level progression to shift lead.
37,Yes,Merchandising,Inventory Specialist,Other,2,1,1,4,4,Single,3609,2,No,Non-Travel,3,13,2,0,9,0,0,0,Retail & Consumer Operations,Hourly wage is barely keeping up with cost of living.
38,Yes,Store Operations,Merchandiser,Marketing,3,1,3,2,3,Divorced,3850,2,No,Non-Travel,3,16,5,1,13,1,1,0,Retail & Consumer Operations,High customer friction with little management backing.
34,Yes,Customer Experience,Inventory Specialist,Marketing,2,33,2,3,3,Single,3444,2,Yes,Non-Travel,3,24,5,10,12,4,2,3,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
31,No,Store Operations,Store Supervisor,Other,3,1,2,3,3,Married,3976,2,Yes,Non-Travel,4,20,5,6,13,6,6,4,Retail & Consumer Operations,Friendly store team and flexible day shift scheduling.
59,No,Customer Experience,Store Supervisor,Marketing,4,2,4,3,4,Divorced,3210,2,Yes,Non-Travel,3,17,4,1,4,0,0,0,Retail & Consumer Operations,Friendly store team and flexible day shift scheduling.
50,No,Store Operations,Customer Lead,Business,1,3,3,3,4,Single,3034,3,No,Non-Travel,3,14,3,2,5,2,2,2,Retail & Consumer Operations,Good staff discounts and customer interactions.
36,Yes,Merchandising,Inventory Specialist,Marketing,4,2,3,3,2,Divorced,3993,6,No,Non-Travel,3,14,1,2,18,2,2,2,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
30,Yes,Merchandising,Customer Lead,Other,2,17,1,4,3,Married,3620,3,No,Non-Travel,3,22,3,8,10,5,8,2,Retail & Consumer Operations,Irregular shift scheduling makes second jobs impossible.
26,No,Store Operations,Merchandiser,Marketing,4,12,2,3,3,Single,3474,2,Yes,Non-Travel,3,21,5,1,8,1,1,1,Retail & Consumer Operations,Good staff discounts and customer interactions.
24,No,Store Operations,Store Supervisor,Business,3,3,2,4,4,Divorced,3091,4,Yes,Non-Travel,3,20,1,4,5,0,1,0,Retail & Consumer Operations,Clear entry-level progression to shift lead.
47,No,Merchandising,Merchandiser,Marketing,2,4,3,3,2,Married,3002,4,No,Non-Travel,3,23,3,2,3,0,2,0,Retail & Consumer Operations,Good staff discounts and customer interactions.
