Age,Attrition,Department,JobRole,EducationField,Education,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,BusinessTravel,PerformanceRating,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Industry,EmployeeFeedback
37,No,Customer Success,Remote Systems Admin,Computer Science,3,0,3,1,3,Married,7599,5,No,Non-Travel,3,16,4,3,5,3,3,1,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
46,Yes,Remote Operations,Remote Systems Admin,Information Systems,1,0,1,4,2,Married,7644,1,Yes,Non-Travel,3,24,2,3,5,1,3,0,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
33,No,Cloud Infrastructure,Remote Systems Admin,Information Systems,4,0,2,3,2,Married,8641,7,Yes,Non-Travel,3,14,5,9,9,6,2,3,Remote-First Distributed Teams,High autonomy to structure deep work around life.
44,Yes,Cloud Infrastructure,Remote Systems Admin,Computer Science,4,0,1,1,2,Divorced,7798,0,No,Non-Travel,3,12,4,3,5,0,1,1,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
36,Yes,Cloud Infrastructure,Async Project Manager,Information Systems,2,0,2,3,4,Divorced,6917,5,Yes,Non-Travel,3,16,3,2,3,1,0,0,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
53,Yes,Cloud Infrastructure,Virtual Support Lead,Information Systems,2,0,3,1,1,Single,8425,1,No,Non-Travel,3,17,5,5,8,3,4,1,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
40,Yes,Cloud Infrastructure,Virtual Support Lead,Information Systems,3,0,2,2,4,Divorced,8453,1,No,Non-Travel,3,16,3,1,8,1,1,1,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
34,No,Customer Success,Virtual Support Lead,Computer Science,3,0,3,2,3,Married,8886,4,No,Non-Travel,3,19,4,14,14,8,3,9,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
30,No,Cloud Infrastructure,Virtual Support Lead,Information Systems,4,0,4,3,3,Divorced,7771,2,No,Non-Travel,3,12,3,4,7,3,0,0,Remote-First Distributed Teams,Zero commute saves two hours every single day.
49,Yes,Remote Operations,Async Project Manager,Computer Science,3,0,1,1,4,Married,8723,2,No,Non-Travel,3,22,1,9,11,5,3,4,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
29,No,Cloud Infrastructure,Async Project Manager,Computer Science,3,0,2,3,3,Married,7110,1,No,Non-Travel,4,14,3,1,2,0,1,0,Remote-First Distributed Teams,Zero commute saves two hours every single day.
26,Yes,Remote Operations,Async Project Manager,Information Systems,3,0,2,1,2,Divorced,7637,1,No,Non-Travel,3,24,3,4,7,3,0,3,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
32,Yes,Remote Operations,Remote Systems Admin,Computer Science,3,0,3,1,3,Single,8778,1,Yes,Non-Travel,3,16,1,1,9,0,1,0,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
40,Yes,Cloud Infrastructure,Remote Systems Admin,Computer Science,3,0,2,1,3,Divorced,10143,2,No,Non-Travel,3,17,4,1,14,1,0,0,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
49,No,Remote Operations,Remote Systems Admin,Information Systems,4,0,2,4,3,Married,7096,1,Yes,Non-Travel,3,18,4,0,3,0,0,0,Remote-First Distributed Teams,High autonomy to structure deep work around life.
25,No,Remote Operations,Async Project Manager,Information Systems,3,0,3,2,3,Divorced,8035,5,No,Non-Travel,3,20,5,5,7,4,0,3,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
52,No,Remote Operations,Async Project Manager,Computer Science,2,0,1,3,4,Divorced,7686,2,No,Non-Travel,4,18,3,2,3,1,1,2,Remote-First Distributed Teams,Zero commute saves two hours every single day.
38,No,Cloud Infrastructure,Remote Systems Admin,Liberal Arts,3,0,1,3,3,Divorced,7454,1,No,Non-Travel,3,16,5,1,3,1,0,0,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
35,Yes,Remote Operations,Async Project Manager,Computer Science,4,0,1,2,4,Single,8973,5,Yes,Non-Travel,3,16,1,3,9,0,3,0,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
44,No,Cloud Infrastructure,Virtual Support Lead,Liberal Arts,4,0,3,3,3,Divorced,7519,3,No,Non-Travel,3,18,2,1,3,1,1,1,Remote-First Distributed Teams,Zero commute saves two hours every single day.
42,No,Customer Success,Async Project Manager,Information Systems,2,0,4,4,3,Divorced,7875,4,Yes,Non-Travel,3,17,5,2,4,0,0,0,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
35,No,Cloud Infrastructure,Async Project Manager,Information Systems,3,0,3,3,1,Divorced,8985,3,Yes,Non-Travel,3,12,2,4,8,3,0,0,Remote-First Distributed Teams,Zero commute saves two hours every single day.
32,No,Customer Success,Remote Systems Admin,Liberal Arts,4,0,3,4,1,Married,8357,3,No,Non-Travel,3,16,4,7,10,5,2,4,Remote-First Distributed Teams,High autonomy to structure deep work around life.
30,Yes,Customer Success,Async Project Manager,Liberal Arts,4,0,2,2,2,Married,8080,1,No,Non-Travel,3,14,3,1,6,1,1,1,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
37,Yes,Cloud Infrastructure,Remote Systems Admin,Computer Science,5,0,3,2,2,Divorced,8373,3,Yes,Non-Travel,3,23,2,0,7,0,0,0,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
32,No,Remote Operations,Virtual Support Lead,Computer Science,4,0,3,3,2,Single,7258,4,Yes,Non-Travel,3,17,4,0,2,0,0,0,Remote-First Distributed Teams,Zero commute saves two hours every single day.
29,Yes,Remote Operations,Async Project Manager,Information Systems,3,0,3,2,3,Divorced,7451,3,No,Non-Travel,3,16,3,3,3,1,0,2,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
50,No,Customer Success,Async Project Manager,Information Systems,2,0,3,3,2,Divorced,8342,2,No,Non-Travel,3,17,4,3,7,0,0,2,Remote-First Distributed Teams,High autonomy to structure deep work around life.
40,No,Customer Success,Async Project Manager,Computer Science,5,0,4,2,1,Divorced,9555,5,No,Non-Travel,3,23,4,3,12,3,0,2,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
45,No,Cloud Infrastructure,Async Project Manager,Liberal Arts,4,0,2,3,3,Married,7581,4,No,Non-Travel,3,18,5,5,5,2,1,0,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
36,No,Remote Operations,Async Project Manager,Information Systems,3,0,3,3,3,Single,8910,3,No,Non-Travel,3,11,1,4,10,3,0,3,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
39,Yes,Remote Operations,Async Project Manager,Information Systems,3,0,3,2,3,Divorced,7034,3,Yes,Non-Travel,4,24,4,0,3,0,0,0,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
21,Yes,Customer Success,Remote Systems Admin,Computer Science,3,0,4,2,2,Divorced,6807,2,No,Non-Travel,4,18,5,1,2,0,0,1,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
26,No,Remote Operations,Virtual Support Lead,Computer Science,3,0,3,4,1,Divorced,8146,2,Yes,Non-Travel,3,14,5,1,5,0,0,0,Remote-First Distributed Teams,Zero commute saves two hours every single day.
49,No,Remote Operations,Virtual Support Lead,Liberal Arts,3,0,3,2,2,Divorced,7171,1,No,Non-Travel,3,24,5,1,4,0,0,0,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
37,No,Remote Operations,Async Project Manager,Computer Science,4,0,4,2,1,Married,8841,2,No,Non-Travel,3,20,3,5,8,4,0,5,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
38,No,Cloud Infrastructure,Async Project Manager,Liberal Arts,3,0,3,3,2,Single,8353,2,No,Non-Travel,3,19,5,5,10,1,4,0,Remote-First Distributed Teams,High autonomy to structure deep work around life.
40,No,Remote Operations,Virtual Support Lead,Computer Science,2,0,2,3,3,Married,6909,2,No,Non-Travel,3,14,3,1,1,0,0,0,Remote-First Distributed Teams,High autonomy to structure deep work around life.
46,Yes,Remote Operations,Async Project Manager,Liberal Arts,3,0,2,3,3,Single,9193,1,Yes,Non-Travel,3,20,5,11,13,6,6,6,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
38,No,Customer Success,Virtual Support Lead,Liberal Arts,4,0,2,2,2,Divorced,8617,2,No,Non-Travel,3,11,1,3,7,1,1,1,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
34,No,Customer Success,Async Project Manager,Liberal Arts,2,0,1,3,1,Single,8127,4,No,Non-Travel,3,24,5,7,7,5,7,4,Remote-First Distributed Teams,Zero commute saves two hours every single day.
41,No,Remote Operations,Remote Systems Admin,Computer Science,5,0,3,4,1,Married,7846,4,No,Non-Travel,3,15,5,6,8,3,0,1,Remote-First Distributed Teams,High autonomy to structure deep work around life.
34,No,Customer Success,Virtual Support Lead,Computer Science,3,0,3,3,3,Single,8223,4,No,Non-Travel,3,11,1,1,7,0,1,0,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
50,Yes,Remote Operations,Remote Systems Admin,Liberal Arts,3,0,3,1,3,Divorced,7920,4,No,Non-Travel,3,14,4,3,7,3,3,3,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
31,No,Remote Operations,Remote Systems Admin,Computer Science,1,0,2,1,2,Married,8156,3,Yes,Non-Travel,3,24,5,5,5,0,0,5,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
47,No,Remote Operations,Remote Systems Admin,Computer Science,2,0,3,3,4,Divorced,8118,2,No,Non-Travel,3,18,2,4,5,0,0,1,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
34,No,Customer Success,Remote Systems Admin,Information Systems,1,0,3,3,3,Divorced,7309,3,No,Non-Travel,3,17,2,0,2,0,0,0,Remote-First Distributed Teams,High autonomy to structure deep work around life.
31,No,Customer Success,Virtual Support Lead,Information Systems,4,0,4,3,4,Single,8242,0,Yes,Non-Travel,3,22,1,5,5,0,1,0,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
32,No,Customer Success,Async Project Manager,Information Systems,3,0,1,3,2,Married,6882,3,No,Non-Travel,3,21,4,1,1,0,0,1,Remote-First Distributed Teams,Zero commute saves two hours every single day.
37,Yes,Cloud Infrastructure,Async Project Manager,Liberal Arts,2,0,4,1,1,Married,7141,1,No,Non-Travel,3,23,4,2,4,2,0,0,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
42,Yes,Remote Operations,Async Project Manager,Information Systems,4,0,2,2,3,Married,7080,1,No,Non-Travel,3,19,5,3,3,2,0,2,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
38,No,Customer Success,Async Project Manager,Information Systems,3,0,2,3,1,Divorced,8391,1,No,Non-Travel,3,21,1,3,7,2,1,0,Remote-First Distributed Teams,Zero commute saves two hours every single day.
57,Yes,Cloud Infrastructure,Virtual Support Lead,Information Systems,3,0,3,4,3,Divorced,9592,0,Yes,Non-Travel,4,13,4,3,13,1,1,0,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
49,Yes,Customer Success,Virtual Support Lead,Liberal Arts,5,0,3,2,1,Divorced,12395,2,Yes,Non-Travel,3,12,1,0,23,0,0,0,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
34,Yes,Cloud Infrastructure,Async Project Manager,Liberal Arts,5,0,4,4,2,Single,9016,3,No,Non-Travel,3,25,5,0,10,0,0,0,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
35,No,Remote Operations,Async Project Manager,Information Systems,3,0,3,3,2,Married,8364,3,No,Non-Travel,3,22,1,6,9,3,0,4,Remote-First Distributed Teams,High autonomy to structure deep work around life.
35,No,Remote Operations,Async Project Manager,Information Systems,4,0,1,3,2,Divorced,8009,1,Yes,Non-Travel,4,14,3,1,5,1,1,1,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
52,No,Customer Success,Virtual Support Lead,Computer Science,2,0,3,2,4,Married,8438,4,No,Non-Travel,3,19,4,6,6,3,1,3,Remote-First Distributed Teams,Timezone lag creates fragmented communication blocks.
36,Yes,Cloud Infrastructure,Async Project Manager,Computer Science,3,0,3,3,4,Single,10614,0,No,Non-Travel,3,23,3,15,15,10,0,7,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
48,No,Cloud Infrastructure,Async Project Manager,Liberal Arts,3,0,4,4,3,Divorced,9346,0,No,Non-Travel,3,25,2,5,14,4,5,4,Remote-First Distributed Teams,Zero commute saves two hours every single day.
48,No,Customer Success,Async Project Manager,Liberal Arts,3,0,2,1,2,Married,6584,2,No,Non-Travel,3,11,3,0,1,0,0,0,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
31,No,Cloud Infrastructure,Virtual Support Lead,Information Systems,4,0,1,3,3,Married,10282,3,Yes,Non-Travel,3,22,5,7,13,5,1,5,Remote-First Distributed Teams,Modern asynchronous Slack and Notion workflows.
30,Yes,Cloud Infrastructure,Virtual Support Lead,Information Systems,3,0,4,2,3,Divorced,8091,3,No,Non-Travel,3,15,5,1,8,0,0,0,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
46,Yes,Cloud Infrastructure,Async Project Manager,Liberal Arts,3,0,1,2,2,Divorced,12403,2,Yes,Non-Travel,3,16,3,3,24,3,2,3,Remote-First Distributed Teams,Blurred boundaries between home life and working late.
31,No,Cloud Infrastructure,Remote Systems Admin,Liberal Arts,4,0,3,3,3,Married,7935,2,No,Non-Travel,4,13,5,0,6,0,0,0,Remote-First Distributed Teams,High autonomy to structure deep work around life.
38,Yes,Customer Success,Async Project Manager,Information Systems,1,0,2,4,3,Single,8785,3,Yes,Non-Travel,3,21,1,0,11,0,0,0,Remote-First Distributed Teams,Feeling isolated and disconnected from team culture.
